Gender,Total Count,Sch_Div
Male,604,Eagle Ridge Middle Loudoun County Public Schools
Other,2,Eagle Ridge Middle Loudoun County Public Schools
Female,177,Emerick Elementary Loudoun County Public Schools
Male,221,Emerick Elementary Loudoun County Public Schools
Other,2,Emerick Elementary Loudoun County Public Schools
Female,288,Evergreen Mill Elementary Loudoun County Public Schools
Male,307,Evergreen Mill Elementary Loudoun County Public Schools
Female,540,Farmwell Station Middle Loudoun County Public Schools
Male,576,Farmwell Station Middle Loudoun County Public Schools
Female,255,Forest Grove Elementary Loudoun County Public Schools
Male,246,Forest Grove Elementary Loudoun County Public Schools
Female,268,Frances Hazel Reid Elementary Loudoun County Public Schools
Male,314,Frances Hazel Reid Elementary Loudoun County Public Schools
Female,321,Frederick Douglass Elementary Loudoun County Public Schools
Male,281,Frederick Douglass Elementary Loudoun County Public Schools
Female,990,Freedom High Loudoun County Public Schools
Male,"1,062",Freedom High Loudoun County Public Schools
Other,3,Freedom High Loudoun County Public Schools
Female,441,Goshen Post Elementary Loudoun County Public Schools
Male,448,Goshen Post Elementary Loudoun County Public Schools
Female,274,Guilford Elementary Loudoun County Public Schools
Male,271,Guilford Elementary Loudoun County Public Schools
Female,71,Hamilton Elementary Loudoun County Public Schools
Male,88,Hamilton Elementary Loudoun County Public Schools
Female,528,Harmony Middle Loudoun County Public Schools
Male,554,Harmony Middle Loudoun County Public Schools
Other,2,Harmony Middle Loudoun County Public Schools
Female,437,Harper Park Middle Loudoun County Public Schools
Male,480,Harper Park Middle Loudoun County Public Schools
Other,1,Harper Park Middle Loudoun County Public Schools
Female,738,Heritage High Loudoun County Public Schools
Male,752,Heritage High Loudoun County Public Schools
Other,1,Heritage High Loudoun County Public Schools
Female,70,Hillsboro Charter Academy Loudoun County Public Schools
Male,74,Hillsboro Charter Academy Loudoun County Public Schools
Female,262,Hillside Elementary Loudoun County Public Schools
Male,301,Hillside Elementary Loudoun County Public Schools
Female,234,Horizon Elementary Loudoun County Public Schools
Male,252,Horizon Elementary Loudoun County Public Schools
Female,497,Hovatter Elementary Loudoun County Public Schools
Male,556,Hovatter Elementary Loudoun County Public Schools
Female,352,Hutchison Farm Elementary Loudoun County Public Schools
Male,373,Hutchison Farm Elementary Loudoun County Public Schools
Female,898,Independence High Loudoun County Public Schools
Male,928,Independence High Loudoun County Public Schools
Other,3,Independence High Loudoun County Public Schools
Female,505,J. Lupton Simpson Middle Loudoun County Public Schools
Male,493,J. Lupton Simpson Middle Loudoun County Public Schools
Female,662,J. Michael Lunsford Middle Loudoun County Public Schools
Male,722,J. Michael Lunsford Middle Loudoun County Public Schools
Female,829,John Champe High Loudoun County Public Schools
Male,861,John Champe High Loudoun County Public Schools
Female,309,John W. Tolbert Jr. Elementary Loudoun County Public Schools
Male,327,John W. Tolbert Jr. Elementary Loudoun County Public Schools
Female,204,Kenneth W.Culbert Elementary Loudoun County Public Schools
Male,237,Kenneth W.Culbert Elementary Loudoun County Public Schools
Female,204,Leesburg Elementary Loudoun County Public Schools
Male,209,Leesburg Elementary Loudoun County Public Schools
Female,368,Legacy Elementary Loudoun County Public Schools
Male,395,Legacy Elementary Loudoun County Public Schools
Female,458,Liberty Elementary Loudoun County Public Schools
Male,445,Liberty Elementary Loudoun County Public Schools
Female,707,Lightridge High Loudoun County Public Schools
Male,729,Lightridge High Loudoun County Public Schools
Female,31,Lincoln Elementary Loudoun County Public Schools
Male,48,Lincoln Elementary Loudoun County Public Schools
Female,324,Little River Elementary Loudoun County Public Schools
Male,355,Little River Elementary Loudoun County Public Schools
Female,716,Loudoun County High Loudoun County Public Schools
Male,785,Loudoun County High Loudoun County Public Schools
Other,3,Loudoun County High Loudoun County Public Schools
Female,539,Loudoun Valley High Loudoun County Public Schools
Male,701,Loudoun Valley High Loudoun County Public Schools
Other,2,Loudoun Valley High Loudoun County Public Schools
Female,258,Lovettsville Elementary Loudoun County Public Schools
Male,251,Lovettsville Elementary Loudoun County Public Schools
Female,263,Lowes Island Elementary Loudoun County Public Schools
Male,272,Lowes Island Elementary Loudoun County Public Schools
Female,112,Lucketts Elementary Loudoun County Public Schools
Male,131,Lucketts Elementary Loudoun County Public Schools
Female,576,Madison's Trust Elementary Loudoun County Public Schools
Male,606,Madison's Trust Elementary Loudoun County Public Schools
Female,201,Meadowland Elementary Loudoun County Public Schools
Male,203,Meadowland Elementary Loudoun County Public Schools
Female,626,Mercer Middle Loudoun County Public Schools
Male,640,Mercer Middle Loudoun County Public Schools
Female,68,Middleburg Community Charter Loudoun County Public Schools
Male,73,Middleburg Community Charter Loudoun County Public Schools
Female,339,Mill Run Elementary Loudoun County Public Schools
Male,355,Mill Run Elementary Loudoun County Public Schools
Female,428,Moorefield Station Elementary Loudoun County Public Schools
Male,447,Moorefield Station Elementary Loudoun County Public Schools
Female,329,Mountain View Elementary Loudoun County Public Schools
Male,337,Mountain View Elementary Loudoun County Public Schools
Female,305,Newton-Lee Elementary Loudoun County Public Schools
Male,326,Newton-Lee Elementary Loudoun County Public Schools
Female,665,Park View High Loudoun County Public Schools
Male,743,Park View High Loudoun County Public Schools
Other,1,Park View High Loudoun County Public Schools
Female,415,Pinebrook Elementary Loudoun County Public Schools
Male,376,Pinebrook Elementary Loudoun County Public Schools
Female,806,Potomac Falls High Loudoun County Public Schools
Male,813,Potomac Falls High Loudoun County Public Schools
Other,2,Potomac Falls High Loudoun County Public Schools
Female,237,Potowmack Elementary Loudoun County Public Schools
Male,291,Potowmack Elementary Loudoun County Public Schools
Female,558,River Bend Middle Loudoun County Public Schools
Male,581,River Bend Middle Loudoun County Public Schools
Other,1,River Bend Middle Loudoun County Public Schools
Female,884,Riverside High Loudoun County Public Schools
Male,935,Riverside High Loudoun County Public Schools
Other,3,Riverside High Loudoun County Public Schools
Female,683,Rock Ridge High Loudoun County Public Schools
Male,712,Rock Ridge High Loudoun County Public Schools
Other,1,Rock Ridge High Loudoun County Public Schools
Female,282,Rolling Ridge Elementary Loudoun County Public Schools
Male,305,Rolling Ridge Elementary Loudoun County Public Schools
Female,403,Rosa Lee Carter Elementary Loudoun County Public Schools
Male,438,Rosa Lee Carter Elementary Loudoun County Public Schools
Female,247,Round Hill Elementary Loudoun County Public Schools
Male,301,Round Hill Elementary Loudoun County Public Schools
Female,210,Sanders Corner Elementary Loudoun County Public Schools
Male,250,Sanders Corner Elementary Loudoun County Public Schools
Female,298,Seldens Landing Elementary Loudoun County Public Schools
Male,281,Seldens Landing Elementary Loudoun County Public Schools
Other,1,Seldens Landing Elementary Loudoun County Public Schools
Female,477,Seneca Ridge Middle Loudoun County Public Schools
Male,525,Seneca Ridge Middle Loudoun County Public Schools
Other,1,Seneca Ridge Middle Loudoun County Public Schools
Female,453,Smart's Mill Middle Loudoun County Public Schools
Male,468,Smart's Mill Middle Loudoun County Public Schools
Other,1,Smart's Mill Middle Loudoun County Public Schools
Female,215,Sterling Elementary Loudoun County Public Schools
Male,220,Sterling Elementary Loudoun County Public Schools
Female,517,Sterling Middle Loudoun County Public Schools
Male,565,Sterling Middle Loudoun County Public Schools
Other,1,Sterling Middle Loudoun County Public Schools
Female,314,Steuart W. Weller Elementary Loudoun County Public Schools
Male,332,Steuart W. Weller Elementary Loudoun County Public Schools
Female,791,Stone Bridge High Loudoun County Public Schools
Male,948,Stone Bridge High Loudoun County Public Schools
Other,1,Stone Bridge High Loudoun County Public Schools
Female,560,Stone Hill Middle Loudoun County Public Schools
Male,578,Stone Hill Middle Loudoun County Public Schools
Female,233,Sugarland Elementary Loudoun County Public Schools
Male,248,Sugarland Elementary Loudoun County Public Schools
Female,229,Sully Elementary Loudoun County Public Schools
Male,241,Sully Elementary Loudoun County Public Schools
Other,1,Sully Elementary Loudoun County Public Schools
Female,273,Sycolin Creek Elementary Loudoun County Public Schools
Male,265,Sycolin Creek Elementary Loudoun County Public Schools
Female,566,Trailside Middle Loudoun County Public Schools
Male,570,Trailside Middle Loudoun County Public Schools
Other,2,Trailside Middle Loudoun County Public Schools
Female,659,Tuscarora High Loudoun County Public Schools
Male,737,Tuscarora High Loudoun County Public Schools
Other,5,Tuscarora High Loudoun County Public Schools
Female,11,W.O. Robey High Loudoun County Public Schools
Male,9,W.O. Robey High Loudoun County Public Schools
Female,111,Waterford Elementary Loudoun County Public Schools
Male,121,Waterford Elementary Loudoun County Public Schools
Female,359,Waxpool Elementary Loudoun County Public Schools
Male,369,Waxpool Elementary Loudoun County Public Schools
Female,811,Willard Middle Loudoun County Public Schools
Male,762,Willard Middle Loudoun County Public Schools
Female,746,Woodgrove High Loudoun County Public Schools
Male,816,Woodgrove High Loudoun County Public Schools
Other,4,Woodgrove High Loudoun County Public Schools
Female,281,Jouett Elementary Louisa County Public Schools
Male,294,Jouett Elementary Louisa County Public Schools
Female,813,Louisa County High Louisa County Public Schools
Male,829,Louisa County High Louisa County Public Schools
Female,612,Louisa County Middle Louisa County Public Schools
Male,600,Louisa County Middle Louisa County Public Schools
Female,274,Moss-Nuckols Elementary Louisa County Public Schools
Male,317,Moss-Nuckols Elementary Louisa County Public Schools
Female,327,Thomas Jefferson Elementary Louisa County Public Schools
Male,320,Thomas Jefferson Elementary Louisa County Public Schools
Female,249,Trevilians Elementary Louisa County Public Schools
Male,252,Trevilians Elementary Louisa County Public Schools
Female,228,Central High Lunenburg County Public Schools
Male,264,Central High Lunenburg County Public Schools
Female,154,Kenbridge Elementary Lunenburg County Public Schools
Male,206,Kenbridge Elementary Lunenburg County Public Schools
Female,175,Lunenburg Middle Lunenburg County Public Schools
Male,189,Lunenburg Middle Lunenburg County Public Schools
Female,187,Victoria Elementary Lunenburg County Public Schools
Male,204,Victoria Elementary Lunenburg County Public Schools
Female,182,Bedford Hills Elementary Lynchburg City Public Schools
Male,190,Bedford Hills Elementary Lynchburg City Public Schools
Female,79,Dearington Elementary/Innovation Lynchburg City Public Schools
Male,68,Dearington Elementary/Innovation Lynchburg City Public Schools
Female,625,E.C. Glass High Lynchburg City Public Schools
Male,734,E.C. Glass High Lynchburg City Public Schools
Female,213,Heritage Elementary Lynchburg City Public Schools
Male,235,Heritage Elementary Lynchburg City Public Schools
Female,515,Heritage High Lynchburg City Public Schools
Male,551,Heritage High Lynchburg City Public Schools
Female,215,Linkhorne Elementary Lynchburg City Public Schools
Male,209,Linkhorne Elementary Lynchburg City Public Schools
Female,286,Linkhorne Middle Lynchburg City Public Schools
Male,313,Linkhorne Middle Lynchburg City Public Schools
Female,281,Paul Laurence Dunbar Middle for Innovation Lynchburg City Public Schools
Male,273,Paul Laurence Dunbar Middle for Innovation Lynchburg City Public Schools
Female,179,Paul Munro Elementary Lynchburg City Public Schools
Male,176,Paul Munro Elementary Lynchburg City Public Schools
Female,173,Perrymont Elementary Lynchburg City Public Schools
Male,198,Perrymont Elementary Lynchburg City Public Schools
Female,212,Robert S. Payne Elementary Lynchburg City Public Schools
Male,242,Robert S. Payne Elementary Lynchburg City Public Schools
Female,175,Sandusky Elementary Lynchburg City Public Schools
Male,163,Sandusky Elementary Lynchburg City Public Schools
Female,265,Sandusky Middle Lynchburg City Public Schools
Male,283,Sandusky Middle Lynchburg City Public Schools
Female,222,Sheffield Elementary Lynchburg City Public Schools
Male,229,Sheffield Elementary Lynchburg City Public Schools
Female,94,T.C. Miller Elementary for Innovation Lynchburg City Public Schools
Male,107,T.C. Miller Elementary for Innovation Lynchburg City Public Schools
Female,80,William M. Bass Elementary Lynchburg City Public Schools
Male,112,William M. Bass Elementary Lynchburg City Public Schools
Female,261,Madison County High Madison County Public Schools
Male,298,Madison County High Madison County Public Schools
Female,184,Madison Primary Madison County Public Schools
Male,182,Madison Primary Madison County Public Schools
Female,184,Waverly Yowell Elementary Madison County Public Schools
Male,167,Waverly Yowell Elementary Madison County Public Schools
Female,187,William H. Wetsel Middle Madison County Public Schools
Male,201,William H. Wetsel Middle Madison County Public Schools
Female,321,Baldwin Elementary Manassas City Public Schools
Male,340,Baldwin Elementary Manassas City Public Schools
Female,125,Baldwin Intermediate Manassas City Public Schools
Male,149,Baldwin Intermediate Manassas City Public Schools
Female,271,George Carr Round Elementary Manassas City Public Schools
Male,274,George Carr Round Elementary Manassas City Public Schools
Female,543,Grace E. Metz Middle Manassas City Public Schools
Male,571,Grace E. Metz Middle Manassas City Public Schools
Other,1,Grace E. Metz Middle Manassas City Public Schools
Female,320,Jennie Dean Elementary Manassas City Public Schools
Male,327,Jennie Dean Elementary Manassas City Public Schools
Female,409,Mayfield Intermediate Manassas City Public Schools
Male,393,Mayfield Intermediate Manassas City Public Schools
Female,"1,102",Osbourn High Manassas City Public Schools
Male,"1,165",Osbourn High Manassas City Public Schools
Other,1,Osbourn High Manassas City Public Schools
Female,304,Richard C. Haydon Elementary Manassas City Public Schools
Male,345,Richard C. Haydon Elementary Manassas City Public Schools
Female,313,Weems Elementary Manassas City Public Schools
Male,318,Weems Elementary Manassas City Public Schools
Female,414,Cougar Elementary Manassas Park City Public Schools
Male,426,Cougar Elementary Manassas Park City Public Schools
Female,343,Manassas Park Elementary Manassas Park City Public Schools
Male,394,Manassas Park Elementary Manassas Park City Public Schools
Female,533,Manassas Park High Manassas Park City Public Schools
Male,589,Manassas Park High Manassas Park City Public Schools
Female,386,Manassas Park Middle Manassas Park City Public Schools
Male,423,Manassas Park Middle Manassas Park City Public Schools
Female,186,Albert Harris Elementary Martinsville City Public Schools
Male,217,Albert Harris Elementary Martinsville City Public Schools
Female,46,Clearview Early Learning Center Martinsville City Public Schools
Male,51,Clearview Early Learning Center Martinsville City Public Schools
Female,289,Martinsville High Martinsville City Public Schools
Male,267,Martinsville High Martinsville City Public Schools
Female,176,Martinsville Middle Martinsville City Public Schools
Male,226,Martinsville Middle Martinsville City Public Schools
Female,190,Patrick Henry Elementary Martinsville City Public Schools
Male,169,Patrick Henry Elementary Martinsville City Public Schools
Female,140,Mathews Elementary Mathews County Public Schools
Male,179,Mathews Elementary Mathews County Public Schools
Female,154,Mathews High Mathews County Public Schools
Male,139,Mathews High Mathews County Public Schools
Female,141,Thomas Hunter Middle Mathews County Public Schools
Male,150,Thomas Hunter Middle Mathews County Public Schools
Female,457,Bluestone  High Mecklenburg County Public Schools
Male,384,Bluestone  High Mecklenburg County Public Schools
Female,199,Bluestone Middle Mecklenburg County Public Schools
Male,164,Bluestone Middle Mecklenburg County Public Schools
Female,180,Chase City Elementary Mecklenburg County Public Schools
Male,191,Chase City Elementary Mecklenburg County Public Schools
Female,192,Clarksville Elementary Mecklenburg County Public Schools
Male,230,Clarksville Elementary Mecklenburg County Public Schools
Female,179,LaCrosse Elementary Mecklenburg County Public Schools
Male,169,LaCrosse Elementary Mecklenburg County Public Schools
Female,404,Park View High Mecklenburg County Public Schools
Male,438,Park View High Mecklenburg County Public Schools
Female,227,Park View Middle Mecklenburg County Public Schools
Male,277,Park View Middle Mecklenburg County Public Schools
Female,379,South Hill Elementary Mecklenburg County Public Schools
Male,370,South Hill Elementary Mecklenburg County Public Schools
Female,312,Middlesex Elementary Middlesex County Public Schools
Male,281,Middlesex Elementary Middlesex County Public Schools
Female,158,Middlesex High Middlesex County Public Schools
Male,177,Middlesex High Middlesex County Public Schools
Female,140,St. Clare Walker Middle Middlesex County Public Schools
Male,134,St. Clare Walker Middle Middlesex County Public Schools
Female,265,Auburn Elementary Montgomery County Public Schools
Male,286,Auburn Elementary Montgomery County Public Schools
Female,176,Auburn High Montgomery County Public Schools
Male,197,Auburn High Montgomery County Public Schools
Female,133,Auburn Middle Montgomery County Public Schools
Male,155,Auburn Middle Montgomery County Public Schools
Female,132,Belview Elementary Montgomery County Public Schools
Male,142,Belview Elementary Montgomery County Public Schools
Female,649,Blacksburg High Montgomery County Public Schools
Male,669,Blacksburg High Montgomery County Public Schools
Other,4,Blacksburg High Montgomery County Public Schools
Female,431,Blacksburg Middle Montgomery County Public Schools
Male,488,Blacksburg Middle Montgomery County Public Schools
Other,8,Blacksburg Middle Montgomery County Public Schools
Female,188,Christiansburg Elementary Montgomery County Public Schools
Male,201,Christiansburg Elementary Montgomery County Public Schools
Female,500,Christiansburg High Montgomery County Public Schools
Male,594,Christiansburg High Montgomery County Public Schools
Other,3,Christiansburg High Montgomery County Public Schools
Female,402,Christiansburg Middle Montgomery County Public Schools
Male,389,Christiansburg Middle Montgomery County Public Schools
Other,2,Christiansburg Middle Montgomery County Public Schools
Female,208,Christiansburg Primary Montgomery County Public Schools
Male,229,Christiansburg Primary Montgomery County Public Schools
Female,194,Eastern Montgomery Elementary Montgomery County Public Schools
Male,204,Eastern Montgomery Elementary Montgomery County Public Schools
Female,142,Eastern Montgomery High Montgomery County Public Schools
Male,151,Eastern Montgomery High Montgomery County Public Schools
Female,277,Falling Branch Elementary Montgomery County Public Schools
Male,283,Falling Branch Elementary Montgomery County Public Schools
Other,1,Falling Branch Elementary Montgomery County Public Schools
Female,159,Gilbert Linkous Elementary Montgomery County Public Schools
Male,159,Gilbert Linkous Elementary Montgomery County Public Schools
Female,127,Harding Avenue Elementary Montgomery County Public Schools
Male,145,Harding Avenue Elementary Montgomery County Public Schools
Female,177,Kipps Elementary Montgomery County Public Schools
Male,197,Kipps Elementary Montgomery County Public Schools
Female,193,Margaret Beeks Elementary Montgomery County Public Schools
Male,176,Margaret Beeks Elementary Montgomery County Public Schools
Female,212,Prices Fork Elementary Montgomery County Public Schools
Male,244,Prices Fork Elementary Montgomery County Public Schools
Female,102,Shawsville Middle Montgomery County Public Schools
Male,110,Shawsville Middle Montgomery County Public Schools
Female,255,Nelson County High Nelson County Public Schools
Male,290,Nelson County High Nelson County Public Schools
Female,160,Nelson Middle Nelson County Public Schools
Male,199,Nelson Middle Nelson County Public Schools
Female,150,Rockfish River Elementary Nelson County Public Schools
Male,136,Rockfish River Elementary Nelson County Public Schools
Female,176,Tye River Elementary Nelson County Public Schools
Male,172,Tye River Elementary Nelson County Public Schools
Female,360,George W. Watkins Elementary New Kent County Public Schools
Male,363,George W. Watkins Elementary New Kent County Public Schools
Female,338,New Kent Elementary New Kent County Public Schools
Male,363,New Kent Elementary New Kent County Public Schools
Female,512,New Kent High New Kent County Public Schools
Male,571,New Kent High New Kent County Public Schools
Female,378,New Kent Middle New Kent County Public Schools
Male,387,New Kent Middle New Kent County Public Schools
Other,1,New Kent Middle New Kent County Public Schools
Female,305,Achievable Dream Academy Newport News City Public Schools
Male,297,Achievable Dream Academy Newport News City Public Schools
Female,292,Achievable Dream Middle/High Newport News City Public Schools
Male,213,Achievable Dream Middle/High Newport News City Public Schools
Female,170,B.C. Charles Elementary Newport News City Public Schools
Male,200,B.C. Charles Elementary Newport News City Public Schools
Female,233,B.T. Washington Middle Newport News City Public Schools
Male,183,B.T. Washington Middle Newport News City Public Schools
Female,300,Carver Elementary Newport News City Public Schools
Male,292,Carver Elementary Newport News City Public Schools
Other,1,Carver Elementary Newport News City Public Schools
Female,454,Crittenden Middle Newport News City Public Schools
Male,450,Crittenden Middle Newport News City Public Schools
Female,224,David A. Dutrow Elementary Newport News City Public Schools
Male,240,David A. Dutrow Elementary Newport News City Public Schools
Female,288,Deer Park Elementary Newport News City Public Schools
Male,245,Deer Park Elementary Newport News City Public Schools
Female,191,Denbigh Early Childhood Center Newport News City Public Schools
Male,191,Denbigh Early Childhood Center Newport News City Public Schools
Female,502,Denbigh High Newport News City Public Schools
Male,705,Denbigh High Newport News City Public Schools
Other,4,Denbigh High Newport News City Public Schools
Female,278,Discovery STEM Academy Newport News City Public Schools
Male,280,Discovery STEM Academy Newport News City Public Schools
Female,536,Ella J. Fitzgerald Middle Newport News City Public Schools
Male,578,Ella J. Fitzgerald Middle Newport News City Public Schools
Other,1,Ella J. Fitzgerald Middle Newport News City Public Schools
Female,497,Ethel M. Gildersleeve Middle Newport News City Public Schools
Male,584,Ethel M. Gildersleeve Middle Newport News City Public Schools
Other,2,Ethel M. Gildersleeve Middle Newport News City Public Schools
Female,227,General Stanford Elementary Newport News City Public Schools
Male,262,General Stanford Elementary Newport News City Public Schools
Other,1,General Stanford Elementary Newport News City Public Schools
Female,196,George J. McIntosh Elementary Newport News City Public Schools
Male,224,George J. McIntosh Elementary Newport News City Public Schools
Other,1,George J. McIntosh Elementary Newport News City Public Schools
Female,544,Heritage High Newport News City Public Schools
Male,624,Heritage High Newport News City Public Schools
Other,1,Heritage High Newport News City Public Schools
Female,263,Hidenwood Elementary Newport News City Public Schools
Male,281,Hidenwood Elementary Newport News City Public Schools
Female,199,Hilton Elementary Newport News City Public Schools
Male,179,Hilton Elementary Newport News City Public Schools
Female,477,Homer L. Hines Middle Newport News City Public Schools
Male,472,Homer L. Hines Middle Newport News City Public Schools
Other,3,Homer L. Hines Middle Newport News City Public Schools
Female,152,Huntington Middle Newport News City Public Schools
Male,130,Huntington Middle Newport News City Public Schools
Female,108,John Marshall Early Childhood Center Newport News City Public Schools
Male,114,John Marshall Early Childhood Center Newport News City Public Schools
Female,283,Joseph H. Saunders Elementary Newport News City Public Schools
Male,323,Joseph H. Saunders Elementary Newport News City Public Schools
Female,234,Katherine Johnson Elementary Newport News City Public Schools
Male,277,Katherine Johnson Elementary Newport News City Public Schools
Female,300,Kiln Creek Elementary Newport News City Public Schools
Male,321,Kiln Creek Elementary Newport News City Public Schools
Female,215,Knollwood Meadows Elementary Newport News City Public Schools
Male,236,Knollwood Meadows Elementary Newport News City Public Schools
Female,213,L.F. Palmer Elementary Newport News City Public Schools
Male,204,L.F. Palmer Elementary Newport News City Public Schools
Female,475,Mary Passage Middle Newport News City Public Schools
Male,510,Mary Passage Middle Newport News City Public Schools
Other,2,Mary Passage Middle Newport News City Public Schools
Female,796,Menchville High Newport News City Public Schools
Male,935,Menchville High Newport News City Public Schools
Other,2,Menchville High Newport News City Public Schools
Female,233,Newsome Park Elementary Newport News City Public Schools
Male,254,Newsome Park Elementary Newport News City Public Schools
Female,278,Oliver C. Greenwood Elementary Newport News City Public Schools
Male,281,Oliver C. Greenwood Elementary Newport News City Public Schools
Female,185,Richard T. Yates Elementary Newport News City Public Schools
Male,205,Richard T. Yates Elementary Newport News City Public Schools
Female,284,Richneck Elementary Newport News City Public Schools
Male,302,Richneck Elementary Newport News City Public Schools
Female,220,Riverside Elementary Newport News City Public Schools
Male,265,Riverside Elementary Newport News City Public Schools
Female,213,Sedgefield Elementary Newport News City Public Schools
Male,232,Sedgefield Elementary Newport News City Public Schools
Female,212,Stoney Run Elementary Newport News City Public Schools
Male,260,Stoney Run Elementary Newport News City Public Schools
Female,242,T. Ryland Sanford Elementary Newport News City Public Schools
Male,258,T. Ryland Sanford Elementary Newport News City Public Schools
Other,6,T. Ryland Sanford Elementary Newport News City Public Schools
Female,848,Warwick High Newport News City Public Schools
Male,775,Warwick High Newport News City Public Schools
Female,172,Watkins Early Childhood Center Newport News City Public Schools
Male,220,Watkins Early Childhood Center Newport News City Public Schools
Female,223,Willis A. Jenkins Elementary Newport News City Public Schools
Male,246,Willis A. Jenkins Elementary Newport News City Public Schools
Female,952,Woodside High Newport News City Public Schools
Male,791,Woodside High Newport News City Public Schools
Female,375,Academy for Discovery at Lakewood Norfolk City Public Schools
Male,344,Academy for Discovery at Lakewood Norfolk City Public Schools
Female,415,Azalea Gardens Middle Norfolk City Public Schools
Male,453,Azalea Gardens Middle Norfolk City Public Schools
Female,234,Bay View Elementary Norfolk City Public Schools
Male,285,Bay View Elementary Norfolk City Public Schools
Female,66,Berkley/Campostella Early Childhood Education Center Norfolk City Public Schools
Male,100,Berkley/Campostella Early Childhood Education Center Norfolk City Public Schools
Female,610,Blair Middle Norfolk City Public Schools
Male,607,Blair Middle Norfolk City Public Schools
Female,495,Booker T Washington High Norfolk City Public Schools
Male,483,Booker T Washington High Norfolk City Public Schools
Female,213,Camp Allen Elementary Norfolk City Public Schools
Male,200,Camp Allen Elementary Norfolk City Public Schools
Female,168,Chesterfield Academy Elementary Norfolk City Public Schools
Male,152,Chesterfield Academy Elementary Norfolk City Public Schools
Female,334,Coleman Place Elementary Norfolk City Public Schools
Male,280,Coleman Place Elementary Norfolk City Public Schools
Female,403,Crossroads Elementary Norfolk City Public Schools
Male,373,Crossroads Elementary Norfolk City Public Schools
Female,28,Easton Preschool Norfolk City Public Schools
Male,59,Easton Preschool Norfolk City Public Schools
Female,251,Ghent K-8 Norfolk City Public Schools
Male,235,Ghent K-8 Norfolk City Public Schools
Female,222,Granby Elementary Norfolk City Public Schools
Male,274,Granby Elementary Norfolk City Public Schools
Female,982,Granby High Norfolk City Public Schools
Male,881,Granby High Norfolk City Public Schools
Female,275,Ingleside Elementary Norfolk City Public Schools
Male,221,Ingleside Elementary Norfolk City Public Schools
Female,263,Jacox Elementary Norfolk City Public Schools
Male,278,Jacox Elementary Norfolk City Public Schools
Female,127,James Monroe Elementary Norfolk City Public Schools
Male,129,James Monroe Elementary Norfolk City Public Schools
Female,315,Lake Taylor Norfolk City Public Schools
Male,332,Lake Taylor Norfolk City Public Schools
Female,463,Lake Taylor High Norfolk City Public Schools
Male,549,Lake Taylor High Norfolk City Public Schools
Female,217,Larchmont Elementary Norfolk City Public Schools
Male,231,Larchmont Elementary Norfolk City Public Schools
Female,259,Larrymore Elementary Norfolk City Public Schools
Male,300,Larrymore Elementary Norfolk City Public Schools
Female,143,Lindenwood Elementary Norfolk City Public Schools
Male,137,Lindenwood Elementary Norfolk City Public Schools
Female,289,Little Creek Elementary Norfolk City Public Schools
Male,301,Little Creek Elementary Norfolk City Public Schools
Female,212,Mary Calcott Elementary Norfolk City Public Schools
Male,217,Mary Calcott Elementary Norfolk City Public Schools
Female,806,Matthew Fontaine Maury High Norfolk City Public Schools
Male,817,Matthew Fontaine Maury High Norfolk City Public Schools
Female,356,Northside Middle Norfolk City Public Schools
Male,431,Northside Middle Norfolk City Public Schools
Female,199,Norview Elementary Norfolk City Public Schools
Male,201,Norview Elementary Norfolk City Public Schools
Female,892,Norview High Norfolk City Public Schools
Male,997,Norview High Norfolk City Public Schools
Female,616,Norview Middle Norfolk City Public Schools
Male,664,Norview Middle Norfolk City Public Schools
Female,229,Ocean View Elementary Norfolk City Public Schools
Male,263,Ocean View Elementary Norfolk City Public Schools
Female,229,Oceanair Elementary Norfolk City Public Schools
Male,213,Oceanair Elementary Norfolk City Public Schools
Female,155,P.B. Young Sr. Elementary Norfolk City Public Schools
Male,137,P.B. Young Sr. Elementary Norfolk City Public Schools
Female,231,Richard Bowling Elementary Norfolk City Public Schools
Male,242,Richard Bowling Elementary Norfolk City Public Schools
Female,235,Sewells Point Elementary Norfolk City Public Schools
Male,271,Sewells Point Elementary Norfolk City Public Schools
Female,229,Sherwood Forest Elementary Norfolk City Public Schools
Male,221,Sherwood Forest Elementary Norfolk City Public Schools
Female,415,Southside STEM Academy at Campostella Norfolk City Public Schools
Male,458,Southside STEM Academy at Campostella Norfolk City Public Schools
Female,109,St. Helena Elementary Norfolk City Public Schools
Male,120,St. Helena Elementary Norfolk City Public Schools
Female,231,Suburban Park Elementary Norfolk City Public Schools
Male,214,Suburban Park Elementary Norfolk City Public Schools
Female,255,Tanners Creek Elementary Norfolk City Public Schools
Male,295,Tanners Creek Elementary Norfolk City Public Schools
Female,161,Tarrallton Elementary Norfolk City Public Schools
Male,163,Tarrallton Elementary Norfolk City Public Schools
Female,86,Tidewater Park Elementary Norfolk City Public Schools
Male,104,Tidewater Park Elementary Norfolk City Public Schools
Female,173,Walter Herron Taylor Elementary Norfolk City Public Schools
Male,145,Walter Herron Taylor Elementary Norfolk City Public Schools
Female,261,Willard Model Elementary Norfolk City Public Schools
Male,227,Willard Model Elementary Norfolk City Public Schools
Female,261,William H. Ruffner Middle Norfolk City Public Schools
Male,263,William H. Ruffner Middle Norfolk City Public Schools
Female,57,Willoughby Early Childhood Center Norfolk City Public Schools
