Gender,Total Count,Sch_Div
Male,173,Boonsboro Elementary Bedford County Public Schools
Female,190,Forest Elementary Bedford County Public Schools
Male,161,Forest Elementary Bedford County Public Schools
Female,411,Forest Middle Bedford County Public Schools
Male,470,Forest Middle Bedford County Public Schools
Female,230,Goodview Elementary Bedford County Public Schools
Male,253,Goodview Elementary Bedford County Public Schools
Female,104,Huddleston Elementary Bedford County Public Schools
Male,113,Huddleston Elementary Bedford County Public Schools
Female,638,Jefferson Forest High Bedford County Public Schools
Male,645,Jefferson Forest High Bedford County Public Schools
Female,354,Liberty High Bedford County Public Schools
Male,359,Liberty High Bedford County Public Schools
Female,245,Liberty Middle Bedford County Public Schools
Male,297,Liberty Middle Bedford County Public Schools
Female,92,Moneta Elementary Bedford County Public Schools
Male,124,Moneta Elementary Bedford County Public Schools
Female,118,Montvale Elementary Bedford County Public Schools
Male,127,Montvale Elementary Bedford County Public Schools
Female,152,New London Academy Elementary Bedford County Public Schools
Male,166,New London Academy Elementary Bedford County Public Schools
Female,82,Otter River Elementary Bedford County Public Schools
Male,108,Otter River Elementary Bedford County Public Schools
Female,429,Staunton River High Bedford County Public Schools
Male,490,Staunton River High Bedford County Public Schools
Female,290,Staunton River Middle Bedford County Public Schools
Male,307,Staunton River Middle Bedford County Public Schools
Female,179,Stewartsville Elementary Bedford County Public Schools
Male,161,Stewartsville Elementary Bedford County Public Schools
Female,256,Thomas Jefferson Elementary Bedford County Public Schools
Male,274,Thomas Jefferson Elementary Bedford County Public Schools
Female,167,Bland County Elementary Bland County Public Schools
Male,180,Bland County Elementary Bland County Public Schools
Female,185,Bland County High Bland County Public Schools
Male,187,Bland County High Bland County Public Schools
Female,76,Breckinridge Elementary Botetourt County Public Schools
Male,98,Breckinridge Elementary Botetourt County Public Schools
Female,147,Buchanan Elementary Botetourt County Public Schools
Male,153,Buchanan Elementary Botetourt County Public Schools
Female,186,Central Academy Middle Botetourt County Public Schools
Male,171,Central Academy Middle Botetourt County Public Schools
Female,129,Cloverdale Elementary Botetourt County Public Schools
Male,129,Cloverdale Elementary Botetourt County Public Schools
Other,1,Cloverdale Elementary Botetourt County Public Schools
