Sch_Div,Economically_Disadvantaged_No_Total_Count,Economically_Disadvantaged_Yes_Total_Count,English_Learners_No_Total_Count,English_Learners_Yes_Total_Count,Foster_Care_No_Total_Count,Foster_Care_Yes_Total_Count,Homeless_No_Total_Count,Homeless_Yes_Total_Count,Disabled_No_Total_Count,Disabled_Yes_Total_Count,Gender_Female_Total_Count,Gender_Male_Total_Count,Gender_Other_Total_Count,Race_American_Indian_Or_Alaska_Native_Percentage,Race_Asian_Percentage,Race_Black_Not_Of_Hispanic_Origin_Percentage,Race_Hispanic_Percentage,Native Hawaiian  or Pacific Islander,Race_Non_Hispanic_Two_Or_More_Races_Percentage,Race_White_Not_Of_Hispanic_Origin_Percentage,Teachers_Bachelors_Degree_Percentage,Teachers_Doctoral_Degree_Percentage,Teachers_Masters_Degree_Percentage,Free_And_Reduced_Lunch_Percent_Eligible,Total_Per_Pupil_Expenditures,Total_Expenditures,Number_of_Students_Missing_10__or_More_of_the_Days_Enrolled,Number_of_Students_Enrolled_for_Half_the_Year_or_More,Chronic_Absenteeism_Rate,Poverty_Level,Title1_Code,Percent_of_Inexperienced_Teachers,Percent_of_Out_of_Field_Teachers,Percent_of_Out_of_Field_and_Inexperienced_Teachers,Graduation_Completion_Index
Loudoun Valley High Loudoun County Public Schools,"1,066",176,"1,207",26,"1,242",,"1,239",,"1,032",210,539,701,2,0.080515298,3.46215781,3.140096618,11.03059581,0.0,5.072463768,77.21417069,25,3,71,8.7,20160,25021747,236,1238,19.06,Low Poverty,Non-Title I,2.6,4.3,0.9,99.5
Louisa County High Louisa County Public Schools,843,799,"1,611",19,"1,629",13,"1,634",,"1,331",311,813,829,0,0.12180268,1.096224117,16.32155907,6.090133983,0.12180268,7.30816078,68.94031669,51,0,42,39.9,13852,22161048,170,1621,10.49,Medium Poverty,Non-Title I,8.7,1.6,0.0,95.4
Luray High Page County Public Schools,286,217,496,,501,2,498,,423,80,235,267,1,0.198807157,0.795228628,4.373757455,3.777335984,0.198807157,2.982107356,87.67395626,48,2,46,48.5,12052,5972357,154,502,30.68,Medium Poverty,Non-Title I,12.2,4.1,0.0,98.4
Madison County High Madison County Public Schools,303,256,553,,555,4,554,,510,49,261,298,0,0.178890877,0.0,8.050089445,4.114490161,0.0,4.114490161,83.54203936,50,4,39,40.8,13134,7165689,133,549,24.23,Medium Poverty,Non-Title I,4.5,2.3,0.0,96.6
Madison High Fairfax County Public Schools,"1,969",244,"2,080",99,"2,213",,"2,209",,"1,916",297,"1,101","1,111",1,0.045187528,15.45413466,1.53637596,13.87257117,0.0,8.269317668,60.82241301,22,2,75,9.9,16594,36621669,328,2211,14.83,Low Poverty,Non-Title I,2.5,13.1,0.6,98.1
Magna Vista High Henry County Public Schools,509,574,"1,053",21,"1,073",10,"1,074",,932,151,512,571,0,0.092336103,0.646352724,28.71652816,13.29639889,0.092336103,5.447830102,51.70821791,48,0,46,88.6,10873,11706980,288,1086,26.52,High Poverty,Non-Title I,3.2,5.3,1.1,91.9
Manassas Park High Manassas Park City Public Schools,581,541,806,236,"1,122",,"1,120",,"1,006",116,533,589,0,0.0,5.525846702,8.645276292,67.64705882,0.0,5.080213904,13.10160428,38,0,59,57.9,12469,13728459,369,1102,33.48,Medium Poverty,Non-Title I,6.8,6.8,2.7,90.2
Manchester High Chesterfield County Public Schools,"1,560",654,"2,009",71,"2,214",,"2,207",,"1,860",354,"1,041","1,173",0,0.180668473,2.393857272,29.13279133,16.30532972,0.135501355,5.149051491,46.70280036,39,0,59,28.6,12178,25846697,512,2156,23.75,Low Poverty,Non-Title I,7.2,3.6,1.2,93.8
Manor High Portsmouth City Public Schools,575,685,"1,230",26,"1,254",6,"1,245",15,"1,098",162,605,655,0,0.079365079,0.714285714,64.92063492,5.873015873,0.238095238,4.761904762,23.41269841,47,3,46,64.4,13343,16290107,613,1205,50.87,Medium Poverty,Non-Title I,5.3,3.8,0.8,79.2
Marion Senior High Smyth County Public Schools,315,329,638,,637,7,643,,541,103,305,338,1,0.0,0.465838509,2.173913043,3.105590062,0.155279503,1.086956522,93.01242236,52,0,47,77.7,11802,7460745,192,635,30.24,High Poverty,Non-Title I,5.3,13.3,4.0,91.4
Marshall High Fairfax County Public Schools,"1,619",454,"1,800",196,"2,073",,"2,063",10,"1,782",291,941,"1,128",4,0.1447178,20.06753497,7.042932947,21.12879884,0.0,6.657018813,44.95899662,25,4,70,20.1,17183,35692811,346,2090,16.56,Low Poverty,Non-Title I,2.5,10.8,0.0,95.0
Martinsville High Martinsville City Public Schools,156,400,518,26,554,2,556,,496,60,289,267,0,0.35971223,1.798561151,55.03597122,14.20863309,0.0,7.374100719,21.22302158,52,2,42,100.0,13620,7392155,177,550,32.18,High Poverty,Non-Title I,6.1,14.3,4.1,83.2
Massaponax High Spotsylvania County Public Schools,"1,024",685,"1,607",93,"1,703",6,"1,686",23,"1,468",241,808,899,2,0.058513751,2.808660035,26.15564658,20.88940901,0.117027501,6.319485079,43.65125805,46,1,50,33.0,12309,20384240,620,1661,37.33,Medium Poverty,Non-Title I,13.3,10.8,5.8,89.3
