Sch_Div,Economically_Disadvantaged_No_Total_Count,Economically_Disadvantaged_Yes_Total_Count,English_Learners_No_Total_Count,English_Learners_Yes_Total_Count,Foster_Care_No_Total_Count,Foster_Care_Yes_Total_Count,Homeless_No_Total_Count,Homeless_Yes_Total_Count,Disabled_No_Total_Count,Disabled_Yes_Total_Count,Gender_Female_Total_Count,Gender_Male_Total_Count,Gender_Other_Total_Count,Race_American_Indian_Or_Alaska_Native_Percentage,Race_Asian_Percentage,Race_Black_Not_Of_Hispanic_Origin_Percentage,Race_Hispanic_Percentage,Native Hawaiian  or Pacific Islander,Race_Non_Hispanic_Two_Or_More_Races_Percentage,Race_White_Not_Of_Hispanic_Origin_Percentage,Teachers_Bachelors_Degree_Percentage,Teachers_Doctoral_Degree_Percentage,Teachers_Masters_Degree_Percentage,Free_And_Reduced_Lunch_Percent_Eligible,Total_Per_Pupil_Expenditures,Total_Expenditures,Number_of_Students_Missing_10__or_More_of_the_Days_Enrolled,Number_of_Students_Enrolled_for_Half_the_Year_or_More,Chronic_Absenteeism_Rate,Poverty_Level,Title1_Code,Percent_of_Inexperienced_Teachers,Percent_of_Out_of_Field_Teachers,Percent_of_Out_of_Field_and_Inexperienced_Teachers,Graduation_Completion_Index
Edison High Fairfax County Public Schools,"1,293",899,"1,792",276,"2,189",3,"2,187",,"1,874",318,"1,024","1,162",6,0.547445255,13.41240876,18.56751825,35.26459854,0.273722628,5.291970803,26.64233577,21,2,77,38.1,17947,39392636,355,2202,16.12,Medium Poverty,Non-Title I,3.0,10.2,1.2,96.3
Essex High Essex County Public Schools,186,322,493,,508,,499,,433,75,253,255,0,0.590551181,1.181102362,52.95275591,4.921259843,0.0,8.858267717,31.49606299,45,0,53,60.3,12580,6223234,182,501,36.33,Medium Poverty,Non-Title I,2.2,8.7,0.0,93.6
Fairfax High Fairfax County Public Schools,"1,592",716,"1,961",233,"2,303",5,"2,301",,"2,030",278,"1,095","1,212",1,0.606585789,23.09358752,9.835355286,26.34315425,0.129982669,5.719237435,34.27209705,22,2,75,24.3,17068,39204202,363,2310,15.71,Low Poverty,Non-Title I,2.4,12.1,1.2,94.0
Falls Church High Fairfax County Public Schools,822,"1,166","1,232",627,"1,981",7,"1,964",24,"1,657",331,933,"1,053",2,0.251509054,16.24748491,4.929577465,58.60160966,0.100603622,3.319919517,16.54929577,21,4,73,55.5,18728,37718384,463,2015,22.98,Medium Poverty,Non-Title I,4.0,14.1,1.1,89.8
Fauquier High Fauquier County Public Schools,952,274,"1,161",51,"1,226",,"1,221",,"1,050",176,597,628,1,0.326264274,2.120717781,7.993474715,17.53670473,0.0,6.199021207,65.82381729,40,2,52,19.2,15391,18409678,236,1192,19.8,Low Poverty,Non-Title I,0.9,12.0,0.0,95.3
First Colonial High Virginia Beach City Public Schools,"1,114",693,"1,761",38,"1,804",3,"1,799",,"1,600",207,902,905,0,0.332042059,2.379634754,17.10016602,12.8389596,0.055340343,8.19037078,59.10348644,43,3,52,30.8,12268,21767978,538,1792,30.02,Medium Poverty,Non-Title I,4.3,4.3,0.0,95.8
Floyd County High Floyd County Public Schools,466,292,739,13,755,3,756,,648,110,363,395,0,0.0,0.92348285,0.791556728,4.881266491,0.0,4.617414248,88.78627968,46,0,46,40.1,11912,8902829,183,743,24.63,Medium Poverty,Non-Title I,4.7,10.9,0.0,97.8
Floyd Kellam High Virginia Beach City Public Schools,"1,621",286,"1,898",,"1,904",3,"1,906",,"1,726",181,927,978,2,0.157315155,3.146303094,4.719454641,7.60356581,0.524383849,7.079181961,76.76979549,47,2,48,11.3,12150,22718034,285,1871,15.23,Low Poverty,Non-Title I,4.3,0.7,0.0,98.6
Fluvanna County High Fluvanna County Public Schools,899,554,"1,418",21,"1,447",6,"1,439",14,"1,263",190,729,724,0,0.137646249,0.412938747,13.48933242,8.327598073,0.206469374,7.639366827,69.78664831,44,2,49,31.6,12069,17348207,722,1448,49.86,Medium Poverty,Non-Title I,5.8,3.3,0.8,95.1
Forest Park High Prince William County Public Schools,"1,495",813,"2,105",140,"2,307",1,"2,300",,"2,039",269,943,"1,365",0,0.129982669,10.22530329,29.37608319,26.42980936,0.173310225,5.935875217,27.72963605,29,2,66,32.2,13145,30196239,538,2312,23.27,Medium Poverty,Non-Title I,11.9,4.9,0.7,95.7
Fort Chiswell High Wythe County Public Schools,276,182,458,,456,2,458,,400,58,235,223,0,0.0,0.218340611,0.655021834,1.528384279,0.0,1.310043668,96.28820961,66,0,27,41.0,12254,5306005,188,439,42.82,Medium Poverty,Non-Title I,5.1,7.7,2.6,94.7
Fort Defiance High Augusta County Public Schools,457,269,716,,724,2,721,,646,80,360,366,0,0.275482094,1.101928375,2.203856749,10.46831956,0.0,1.790633609,84.15977961,38,0,62,28.8,12765,9134047,117,723,16.18,Low Poverty,Non-Title I,2.9,1.4,0.0,97.9
Frank W. Cox High Virginia Beach City Public Schools,"1,208",512,"1,662",37,"1,717",3,"1,714",,"1,514",206,822,893,5,0.348837209,3.023255814,11.1627907,10.05813953,0.058139535,8.255813953,67.09302326,42,2,54,22.6,12752,21110686,432,1657,26.07,Low Poverty,Non-Title I,3.4,0.0,0.0,95.5
Franklin County High Franklin County Public Schools,"1,198",727,"1,904",,"1,920",5,"1,925",,"1,637",288,944,981,0,0.0,0.571428571,8.103896104,6.597402597,0.0,6.649350649,78.07792208,48,0,46,43.4,12036,22018283,344,1853,18.56,Medium Poverty,Non-Title I,5.0,5.0,0.0,87.8
Franklin High Franklin City Public Schools,96,201,293,,294,3,293,,249,48,125,172,0,0.0,0.673400673,76.09427609,1.346801347,0.336700337,4.04040404,17.50841751,38,3,38,100.0,18873,5420823,130,295,44.07,High Poverty,Non-Title I,0.0,26.9,0.0,86.6
Galax High Galax City Public Schools,170,204,316,40,371,3,372,,323,51,193,181,0,0.0,0.0,6.417112299,34.22459893,0.0,4.010695187,55.34759358,38,0,55,63.2,17370,6326623,85,363,23.42,Medium Poverty,Non-Title I,7.5,12.5,5.0,91.4
Galileo Magnet High Danville City Public Schools,241,10,244,,250,1,249,,232,19,136,115,0,0.398406375,4.780876494,36.25498008,9.561752988,0.0,0.398406375,48.60557769,46,0,50,100.0,18508,4569868,16,245,6.53,High Poverty,Non-Title I,4.8,14.3,4.8,100.0
Gar-Field High Prince William County Public Schools,744,"1,769","1,873",505,"2,513",,"2,505",,"2,154",359,"1,174","1,339",0,0.119379228,7.043374453,21.13012336,60.3660963,0.079586152,3.621169916,7.640270593,30,2,65,66.9,13192,32729759,1040,2476,42.0,High Poverty,Non-Title I,14.0,2.4,1.8,87.8
Gate City High Scott County Public Schools,,646,646,,638,8,646,,564,82,297,349,0,0.0,0.619195046,0.92879257,1.547987616,0.0,1.238390093,95.66563467,54,2,42,53.4,9057,5802863,166,641,25.9,Medium Poverty,Non-Title I,0.0,6.7,0.0,91.2
George Washington High Danville City Public Schools,"1,185",190,"1,340",23,"1,364",11,"1,359",16,"1,143",232,703,672,0,0.218181818,0.436363636,72.43636364,9.818181818,0.072727273,2.618181818,14.4,32,3,61,100.0,15879,20778407,536,1307,41.01,High Poverty,Non-Title I,6.7,5.6,3.3,76.0
George Wythe High Wythe County Public Schools,229,220,447,,446,3,449,,395,54,197,251,1,0.0,1.559020045,11.80400891,2.227171492,0.668151448,1.781737194,81.95991091,66,0,29,51.6,11837,5080873,140,432,32.41,Medium Poverty,Non-Title I,2.8,0.0,0.0,88.7
Giles High Giles County Public Schools,444,258,698,,701,1,702,,612,90,361,341,0,0.142450142,0.997150997,4.985754986,3.703703704,0.0,4.131054131,86.03988604,53,0,47,36.2,9662,6665560,123,683,18.01,Medium Poverty,Non-Title I,6.9,2.3,0.0,93.8
Glen Allen High Henrico County Public Schools,"1,538",506,"1,970",46,"2,039",5,"2,036",,"1,846",198,"1,027","1,017",0,0.097847358,12.47553816,17.12328767,7.28962818,0.048923679,6.311154599,56.65362035,34,2,61,18.5,10030,20158259,310,2043,15.17,Low Poverty,Non-Title I,2.5,1.7,0.0,98.1
Glenvar High Roanoke County Public Schools,449,174,616,,620,3,621,,512,111,287,335,1,0.0,2.407704655,2.889245586,4.173354735,0.160513644,2.728731942,87.64044944,44,2,51,24.5,12716,7820262,98,620,15.81,Low Poverty,Non-Title I,10.0,3.3,3.3,93.2
Gloucester High Gloucester County Public Schools,837,705,"1,520",10,"1,542",,"1,536",,"1,330",212,737,805,0,0.194552529,0.453955901,7.068741894,6.485084306,0.064850843,5.771725032,79.96108949,43,1,49,35.1,13015,19054852,238,1467,16.22,Medium Poverty,Non-Title I,2.3,0.8,0.0,91.8
Goochland High Goochland County Public Schools,624,240,848,11,860,4,864,,768,96,409,455,0,0.115740741,2.083333333,13.77314815,7.060185185,0.231481481,6.365740741,70.37037037,39,3,53,20.5,14054,11694085,128,862,14.85,Low Poverty,Non-Title I,4.2,5.6,0.0,96.7
Grafton High York County Public Schools,997,183,"1,137",23,"1,179",1,"1,170",10,"1,057",123,613,567,0,0.0,9.406779661,11.27118644,9.406779661,0.423728814,12.28813559,57.20338983,28,3,65,16.4,9509,11060918,162,1163,13.93,Low Poverty,Non-Title I,0.0,2.1,0.0,97.1
Graham High Tazewell County Public Schools,274,239,513,,512,1,511,,449,64,224,287,2,0.0,1.559454191,5.458089669,1.364522417,0.0,3.703703704,87.91423002,49,2,49,43.4,10228,5199480,149,509,29.27,Medium Poverty,Non-Title I,11.6,27.9,2.3,88.6
Granby High Norfolk City Public Schools,830,"1,033","1,779",68,"1,862",1,"1,840",23,"1,609",254,982,881,0,0.322061192,2.844873859,50.45625335,11.91626409,0.483091787,7.139023081,26.83843264,39,1,56,55.0,12355,22150520,466,1808,25.77,Medium Poverty,Non-Title I,4.9,1.4,0.0,83.0
Grassfield High Chesapeake City Public Schools,"1,926",368,"2,268",15,"2,291",3,"2,293",,"2,017",277,"1,104","1,185",5,0.392327812,5.100261552,16.34699215,11.76983435,0.130775937,9.241499564,57.01830863,37,1,55,12.6,11746,26620635,179,2286,7.83,Low Poverty,Non-Title I,3.2,0.0,0.0,97.6
Grayson County High Grayson County Public Schools,197,256,451,,450,3,451,,385,68,207,246,0,0.0,0.0,3.752759382,7.505518764,0.0,0.220750552,88.5209713,51,3,35,56.8,12272,5484826,75,446,16.82,Medium Poverty,Non-Title I,4.8,9.5,1.6,100.0
Great Bridge High Chesapeake City Public Schools,"1,236",404,"1,617",21,"1,636",4,"1,639",,"1,376",264,793,847,0,0.365853659,2.682926829,18.65853659,10.24390244,0.0,8.414634146,59.63414634,33,1,63,18.9,13083,21156313,216,1618,13.35,Low Poverty,Non-Title I,2.4,0.0,0.0,96.7
Green Run High Virginia Beach City Public Schools,504,967,"1,424",36,"1,464",7,"1,462",,"1,238",233,664,806,1,0.135961931,5.710401088,40.92454113,16.38341264,0.679809653,10.60503059,25.56084296,46,1,49,58.3,12674,18513499,387,1475,26.24,Medium Poverty,Non-Title I,1.8,1.8,0.0,94.4
Greensville County High Greensville County Public Schools,203,378,569,12,581,,580,,515,66,287,294,0,0.17211704,1.032702238,75.55938038,4.13080895,0.0,1.549053356,17.55593804,33,5,48,98.9,10341,5950347,154,589,26.15,High Poverty,Non-Title I,7.1,23.2,5.4,81.0
Gretna High Pittsylvania County Public Schools,248,306,549,,547,7,554,,485,69,259,295,0,0.0,0.180505415,30.68592058,3.249097473,0.0,1.263537906,64.62093863,49,2,48,61.4,12002,6511224,166,542,30.63,Medium Poverty,Non-Title I,6.9,1.7,0.0,91.1
Grundy High Buchanan County Public Schools,177,178,355,,350,5,355,,290,65,165,190,0,0.0,0.0,0.281690141,0.563380282,0.0,0.0,99.15492958,49,0,49,84.0,13044,4607980,150,354,42.37,High Poverty,Non-Title I,2.9,0.0,0.0,92.4
Halifax County High Halifax County Public Schools,698,732,"1,414",13,"1,421",9,"1,417",13,"1,175",255,707,723,0,0.13986014,0.909090909,42.93706294,2.937062937,0.0,3.286713287,49.79020979,49,1,45,84.6,12833,17780306,645,1410,45.74,High Poverty,Non-Title I,14.3,20.0,9.3,82.9
Hampton High Hampton City Public Schools,634,702,"1,312",18,"1,327",9,"1,325",11,"1,162",174,649,687,0,0.374251497,3.068862275,75.5239521,5.389221557,0.523952096,5.389221557,9.730538922,43,1,55,55.2,13147,17501512,344,1338,25.71,Medium Poverty,Non-Title I,1.9,0.0,0.0,95.6
Hanover High Hanover County Public Schools,"1,207",257,"1,453",,"1,464",,"1,464",,"1,287",177,750,714,0,0.341530055,2.663934426,7.650273224,3.893442623,0.0,4.644808743,80.80601093,34,2,60,14.3,11056,15769432,125,1441,8.67,Low Poverty,Non-Title I,5.4,9.8,1.8,98.2
Harrisonburg High Harrisonburg City Public Schools,756,"1,168","1,293",516,"1,919",5,"1,917",,"1,761",163,927,997,0,0.051975052,2.806652807,10.3950104,51.71517672,0.103950104,4.573804574,30.35343035,40,2,56,66.1,13071,24456998,660,1865,35.39,High Poverty,Non-Title I,0.0,7.7,0.0,86.7
Henrico High Henrico County Public Schools,514,900,"1,384",18,"1,400",14,"1,391",23,"1,179",235,777,637,0,0.0,9.618104668,70.65063649,4.59688826,0.0,3.889674682,11.2446959,35,2,60,51.2,12464,17298120,441,1413,31.21,Medium Poverty,Non-Title I,1.7,2.6,0.0,87.8
Heritage High Loudoun County Public Schools,"1,082",409,"1,307",155,"1,490",1,"1,455",36,"1,260",231,738,752,1,1.006036217,14.41985245,7.780013414,21.39503689,0.268276325,6.170355466,48.96042924,29,2,69,22.5,21257,31349152,282,1454,19.39,Low Poverty,Non-Title I,4.4,5.7,1.3,97.8
Heritage High Lynchburg City Public Schools,450,616,"1,037",24,"1,035",31,"1,060",,933,133,515,551,0,0.187617261,1.782363977,50.9380863,8.348968105,0.0,10.31894934,28.42401501,42,2,50,61.6,12965,13469381,365,1025,35.61,Medium Poverty,Non-Title I,5.0,20.7,0.8,81.4
Heritage High Newport News City Public Schools,335,834,"1,159",,"1,165",4,"1,165",,942,227,544,624,1,0.342172797,1.026518392,79.46963216,7.52780154,0.256629598,4.96150556,6.415739949,42,0,37,76.5,15665,17416525,595,1128,52.75,High Poverty,Non-Title I,2.2,15.1,2.2,96.2
Hermitage High Henrico County Public Schools,537,"1,085","1,430",153,"1,614",8,"1,610",12,"1,344",278,754,868,0,0.369913687,5.42540074,41.4919852,19.48212084,0.061652281,5.672009864,27.49691739,46,2,51,54.0,11493,18277551,481,1615,29.78,Medium Poverty,Non-Title I,3.4,4.3,0.0,83.8
Herndon High Fairfax County Public Schools,"1,142","1,178","1,522",679,"2,315",5,"2,282",38,"1,946",374,"1,077","1,241",2,0.25862069,9.568965517,6.637931034,49.43965517,0.043103448,3.836206897,30.21551724,23,2,74,44.9,17877,41404066,495,2328,21.26,Medium Poverty,Non-Title I,0.5,11.2,0.0,89.5
Hickory High Chesapeake City Public Schools,"1,412",202,"1,598",,"1,614",,"1,614",,"1,328",286,806,808,0,0.247831475,1.982651797,4.894671623,9.045848823,0.061957869,6.815365551,76.95167286,37,0,60,8.0,13913,22178794,92,1608,5.72,Low Poverty,Non-Title I,4.1,0.8,0.0,98.2
Hidden Valley High Roanoke County Public Schools,664,157,807,,818,3,820,,730,91,389,432,0,0.12180268,5.602923264,5.237515225,6.455542022,0.0,5.115712546,77.46650426,26,1,72,15.8,11950,9699542,159,818,19.44,Low Poverty,Non-Title I,7.4,1.5,0.0,97.4
Highland High Highland County Public Schools,50,36,85,,86,,86,,75,11,43,43,0,0.0,0.0,0.0,0.561797753,0.0,1.123595506,46.62921348,67,0,29,59.8,24291,2217050,29,93,31.18,Medium Poverty,Title I,5.0,35.0,0.0,94.1
Highland Springs High Henrico County Public Schools,681,"1,342","1,961",48,"2,016",7,"2,004",19,"1,685",338,945,"1,078",0,0.296589224,1.038062284,79.93079585,7.612456747,0.148294612,2.965892239,8.007909046,38,2,56,59.6,10078,20130246,788,2041,38.61,Medium Poverty,Non-Title I,2.5,5.9,0.0,86.0
Holston High Washington County Public Schools,142,130,272,,272,,272,,218,54,137,135,0,0.0,0.367647059,0.367647059,2.573529412,0.0,2.573529412,94.11764706,44,0,56,63.1,14366,3795697,82,258,31.78,Medium Poverty,Non-Title I,2.6,5.1,0.0,95.4
Honaker High Russell County Public Schools,192,269,461,,459,2,461,,401,60,213,248,0,0.433839479,0.0,0.433839479,0.433839479,0.0,0.867678959,97.8308026,55,2,42,62.1,11769,5399129,154,461,33.41,Medium Poverty,Non-Title I,0.0,3.8,0.0,90.6
Hopewell High Hopewell City Public Schools,171,996,"1,110",35,"1,166",1,"1,164",,982,185,566,601,0,0.685518423,1.199657241,60.75407027,10.53984576,0.0,1.113967438,25.70694087,42,1,49,98.7,14609,16361183,358,1193,30.01,High Poverty,Non-Title I,2.2,17.4,0.0,93.0
Hurley High Buchanan County Public Schools,81,122,203,,199,4,203,,168,35,107,96,0,0.0,0.492610837,0.492610837,0.492610837,0.0,0.0,98.52216749,48,0,52,84.2,12732,2592135,41,201,20.4,High Poverty,Non-Title I,0.0,0.0,0.0,90.4
I.C. Norcom High Portsmouth City Public Schools,389,702,"1,091",,"1,086",5,"1,077",14,916,175,541,550,0,0.274977085,0.274977085,88.90925756,3.849679193,0.091659028,2.199816682,4.399633364,45,3,41,100.0,13913,14138776,423,977,43.3,High Poverty,Non-Title I,0.9,10.3,0.9,80.5
Independence High Loudoun County Public Schools,"1,660",169,"1,772",36,"1,827",2,"1,819",10,"1,668",161,898,928,3,0.492072171,35.64789502,6.451612903,7.49043193,0.054674686,5.959540733,43.90377255,25,1,74,7.7,16745,30531232,241,1819,13.25,Low Poverty,Non-Title I,7.2,5.3,0.7,99.1
Indian River High Chesapeake City Public Schools,786,909,"1,659",23,"1,687",8,"1,693",,"1,352",343,830,863,2,0.17699115,2.831858407,49.85250737,12.03539823,0.05899705,7.84660767,27.19764012,40,2,55,45.2,13238,22047553,316,1665,18.98,Medium Poverty,Non-Title I,5.4,0.8,0.0,91.3
James Monroe High Fredericksburg City Public Schools,647,380,886,118,"1,022",5,"1,006",21,914,113,496,531,0,0.194741967,4.868549172,35.63777994,23.75851996,0.194741967,6.523855891,28.8218111,33,2,61,42.6,15438,15513781,247,1029,24.0,Medium Poverty,Non-Title I,9.8,6.5,2.2,84.4
James River High Botetourt County Public Schools,370,106,473,,475,1,473,,417,59,218,258,0,0.0,0.420168067,1.050420168,2.521008403,0.0,2.31092437,93.69747899,33,2,55,24.3,12506,5785796,41,461,8.89,Low Poverty,Non-Title I,0.0,10.3,0.0,97.6
James River High Chesterfield County Public Schools,"1,443",477,"1,663",109,"1,914",6,"1,907",13,"1,699",221,955,965,0,0.052083333,4.375,14.79166667,18.02083333,0.0,5.260416667,57.5,41,2,56,28.0,11458,20938937,429,1888,22.72,Low Poverty,Non-Title I,3.7,2.2,0.0,95.3
James Wood High Frederick County Public Schools,964,474,"1,416",17,"1,436",2,"1,431",,"1,225",213,692,746,0,0.208623088,1.112656467,2.712100139,11.05702364,0.139082058,2.781641168,81.98887344,41,1,55,25.8,12950,18276424,337,1409,23.92,Low Poverty,Non-Title I,0.8,3.9,0.8,95.3
Jamestown High Williamsburg-James City County Public Schools,943,294,"1,185",41,"1,236",1,"1,228",,"1,089",148,602,634,1,0.161681487,2.748585287,9.781729992,15.5214228,0.080840744,6.628940986,65.07679871,28,2,66,17.9,13512,15723668,252,1220,20.66,Low Poverty,Non-Title I,5.7,4.9,1.6,96.4
Jefferson Forest High Bedford County Public Schools,"1,030",253,"1,247",,"1,277",6,"1,283",,"1,171",112,638,645,0,0.077942323,3.663289166,7.404520655,4.36477007,0.077942323,4.988308652,79.42322681,46,1,49,16.9,11249,14360378,147,1281,11.48,Low Poverty,Non-Title I,4.4,5.5,0.0,97.6
John Champe High Loudoun County Public Schools,"1,371",319,"1,589",61,"1,689",1,"1,679",11,"1,529",161,829,861,0,0.355029586,39.52662722,10.88757396,9.940828402,0.236686391,5.976331361,33.07692308,23,2,75,11.8,18428,31179211,270,1690,15.98,Low Poverty,Non-Title I,2.5,3.8,0.6,99.0
John Handley High Winchester City Public Schools,557,786,"1,110",187,"1,340",3,"1,317",26,"1,136",207,619,724,0,0.819061802,2.53164557,9.828741623,38.34698436,0.148920328,6.701414743,41.62323157,28,2,62,50.8,15433,20334227,510,1319,38.67,Medium Poverty,Non-Title I,9.0,11.7,5.4,86.9
John Randolph Tucker High Henrico County Public Schools,849,987,"1,522",262,"1,826",10,"1,826",10,"1,608",228,938,898,0,0.217864924,15.1416122,23.80174292,25.65359477,0.054466231,5.22875817,29.90196078,30,2,66,46.2,10788,19887546,518,1856,27.91,Medium Poverty,Non-Title I,3.3,2.5,0.0,82.8
John S. Battle High Washington County Public Schools,425,227,652,,648,4,651,,563,89,336,316,0,0.153374233,0.153374233,0.460122699,2.45398773,0.0,2.300613497,94.47852761,42,1,53,38.7,10585,6631594,164,614,26.71,Medium Poverty,Non-Title I,1.4,4.2,0.0,92.1
Justice High Fairfax County Public Schools,728,"1,499","1,273",829,"2,222",5,"2,192",35,"1,848",379,"1,055","1,169",3,0.089806915,10.59721599,9.564436462,55.18634935,0.0,1.751234845,22.81095644,27,2,70,63.4,17821,39951458,471,2249,20.94,Medium Poverty,Non-Title I,4.6,11.7,0.5,84.6
Kecoughtan High Hampton City Public Schools,965,647,"1,595",,"1,604",8,"1,602",10,"1,411",201,823,789,0,0.310173697,2.29528536,43.48635236,8.00248139,0.124069479,8.00248139,37.77915633,51,4,41,39.6,11945,18921278,356,1580,22.53,Medium Poverty,Non-Title I,2.6,0.9,0.0,97.8
Kempsville High Virginia Beach City Public Schools,"1,027",909,"1,866",58,"1,936",,"1,911",25,"1,719",217,914,"1,020",2,0.361570248,3.409090909,25.98140496,13.84297521,0.671487603,9.555785124,46.17768595,46,1,48,36.6,11608,22014387,544,1903,28.59,Medium Poverty,Non-Title I,4.7,5.4,0.8,95.8
Kettle Run High Fauquier County Public Schools,"1,055",106,"1,144",11,"1,160",1,"1,160",,"1,007",154,547,614,0,0.0,2.583979328,3.617571059,11.2833764,0.172265289,4.048234281,78.29457364,38,2,50,10.6,14424,16383470,137,1123,12.2,Low Poverty,Non-Title I,3.8,26.7,1.0,97.6
King George High King George County Public Schools,"1,085",370,"1,431",16,"1,450",5,"1,453",,"1,296",159,696,759,0,0.618556701,1.305841924,17.11340206,9.140893471,0.068728522,7.422680412,64.32989691,39,2,46,27.2,11203,15643197,305,1391,21.93,Low Poverty,Non-Title I,8.0,25.0,5.0,93.0
King William High King William County Public Schools,420,260,673,,679,1,674,,584,96,319,361,0,1.029411765,0.294117647,14.70588235,3.529411765,0.0,4.411764706,76.02941176,48,0,48,29.7,12168,8081518,192,674,28.49,Low Poverty,Non-Title I,0.0,3.8,0.0,92.6
King's Fork High Suffolk City Public Schools,986,689,"1,651",17,"1,675",,"1,668",,"1,412",263,810,865,0,0.179104478,1.253731343,65.67164179,6.626865672,0.298507463,5.432835821,20.53731343,52,1,41,43.5,11754,19263967,633,1647,38.43,Medium Poverty,Non-Title I,3.3,6.6,0.8,82.4
Lafayette High Williamsburg-James City County Public Schools,711,426,"1,085",46,"1,134",3,"1,116",21,964,173,555,580,2,0.175901495,2.990325418,22.77924362,13.98416887,0.263852243,7.387862797,52.41864556,31,3,63,33.5,14034,15181273,264,1105,23.89,Medium Poverty,Non-Title I,4.2,2.5,1.7,95.4
Lakeland High Suffolk City Public Schools,595,490,"1,080",,"1,082",3,"1,077",,915,170,571,514,0,0.460829493,0.829493088,62.30414747,3.041474654,0.092165899,2.949308756,30.32258065,45,0,48,48.3,13097,13854163,496,1053,47.1,Medium Poverty,Non-Title I,2.2,5.6,1.1,79.1
Lancaster High Lancaster County Public Schools,135,219,353,,354,,351,,294,60,164,190,0,0.282485876,0.564971751,50.0,1.129943503,0.0,4.519774011,43.50282486,50,0,44,53.1,16543,5634889,95,343,27.7,Medium Poverty,Non-Title I,6.3,3.1,0.0,92.6
Landstown High Virginia Beach City Public Schools,"1,292",905,"2,153",28,"2,197",,"2,193",,"1,972",225,957,"1,240",0,0.227583068,12.19845244,26.58170232,12.65361857,0.728265817,11.83431953,35.77605826,40,1,57,33.5,11800,25775747,377,2189,17.22,Medium Poverty,Non-Title I,7.1,0.7,0.0,93.0
Langley High Fairfax County Public Schools,"1,981",68,"1,985",39,"2,049",,"2,049",,"1,871",178,996,"1,053",0,0.244021474,27.37920937,1.561737433,7.125427038,0.048804295,7.467057101,56.17374329,19,5,76,2.1,15711,31944194,184,2032,9.06,Low Poverty,Non-Title I,1.5,7.5,0.0,99.8
Lebanon High Russell County Public Schools,240,346,582,,583,3,586,,510,76,286,300,0,0.170648464,0.170648464,0.682593857,1.706484642,0.0,1.023890785,96.24573379,64,1,33,49.7,11412,6580482,149,578,25.78,Medium Poverty,Non-Title I,0.0,4.7,0.0,89.5
Lee High Lee County Public Schools,280,512,790,,764,28,788,,676,116,370,422,0,0.0,0.252525253,0.883838384,1.641414141,0.0,0.378787879,96.84343434,50,3,35,94.5,11382,8817949,307,768,39.97,High Poverty,Non-Title I,5.6,14.0,5.6,84.3
Lewis High Fairfax County Public Schools,636,"1,070","1,158",406,"1,706",,"1,700",,"1,417",289,805,899,2,0.351699883,23.3880422,12.1922626,47.94841735,0.175849941,2.579132474,13.36459555,22,2,73,55.2,18808,32306664,430,1727,24.9,Medium Poverty,Non-Title I,2.6,11.8,1.3,93.7
Liberty High Bedford County Public Schools,369,344,710,,708,5,713,,600,113,354,359,0,0.280504909,0.981767181,12.76297335,2.103786816,0.0,3.927068724,79.94389902,45,0,51,48.7,13023,9160775,194,705,27.52,Medium Poverty,Non-Title I,4.5,1.5,0.0,91.9
Liberty High Fauquier County Public Schools,923,430,"1,214",113,"1,350",3,"1,351",,"1,138",215,639,714,0,0.07390983,1.33037694,10.19955654,29.85957132,0.0,4.95195861,53.58462676,37,1,58,35.3,13653,17959478,320,1315,24.33,Medium Poverty,Non-Title I,8.2,18.0,4.9,93.9
Lloyd C. Bird High Chesterfield County Public Schools,"1,000",820,"1,527",125,"1,820",,"1,803",17,"1,549",271,795,"1,025",0,0.054945055,2.582417582,40.0,23.84615385,0.054945055,4.450549451,29.01098901,37,2,60,46.0,11629,20344220,557,1786,31.19,Medium Poverty,Non-Title I,10.2,4.7,1.6,91.9
Lord Botetourt High Botetourt County Public Schools,801,208,997,10,"1,005",4,"1,005",,909,100,488,521,0,0.198216056,1.585728444,2.576808722,5.946481665,0.0,5.054509415,84.6382557,39,2,49,18.9,11094,10882028,98,978,10.02,Low Poverty,Non-Title I,0.0,8.2,0.0,94.2
Loudoun County High Loudoun County Public Schools,"1,141",363,"1,378",105,"1,503",1,"1,484",20,"1,289",215,716,785,3,0.598404255,6.914893617,5.585106383,22.14095745,0.0,5.651595745,59.10904255,23,1,76,17.9,20012,30073981,367,1511,24.29,Low Poverty,Non-Title I,2.7,2.7,0.0,97.0
