Sch_Div,Disadvantaged,Total Count
Knollwood Meadows Elementary Newport News City Public Schools,Y,181
Kyle R. Wilson Elementary Prince William County Public Schools,N,481
Kyle R. Wilson Elementary Prince William County Public Schools,Y,367
L. Douglas Wilder Middle Henrico County Public Schools,N,315
L. Douglas Wilder Middle Henrico County Public Schools,Y,427
L.F. Addington Middle Wise County Public Schools,N,231
L.F. Addington Middle Wise County Public Schools,Y,220
L.F. Palmer Elementary Newport News City Public Schools,N,136
L.F. Palmer Elementary Newport News City Public Schools,Y,281
L.L. Beazley Elementary Prince George County Public Schools,N,268
L.L. Beazley Elementary Prince George County Public Schools,Y,348
Laburnum Elementary Henrico County Public Schools,N,90
Laburnum Elementary Henrico County Public Schools,Y,372
Lacey Spring Elementary Rockingham County Public Schools,N,115
Lacey Spring Elementary Rockingham County Public Schools,Y,126
LaCrosse Elementary Mecklenburg County Public Schools,N,233
LaCrosse Elementary Mecklenburg County Public Schools,Y,115
Lafayette Elementary Fredericksburg City Public Schools,N,438
Lafayette Elementary Fredericksburg City Public Schools,Y,364
Lafayette High Williamsburg-James City County Public Schools,N,711
Lafayette High Williamsburg-James City County Public Schools,Y,426
Lake Anne Elementary Fairfax County Public Schools,N,322
Lake Anne Elementary Fairfax County Public Schools,Y,241
Lake Braddock Secondary Fairfax County Public Schools,N,"3,548"
Lake Braddock Secondary Fairfax County Public Schools,Y,833
Lake Ridge Elementary Prince William County Public Schools,N,417
Lake Ridge Elementary Prince William County Public Schools,Y,270
Lake Ridge Middle Prince William County Public Schools,N,881
Lake Ridge Middle Prince William County Public Schools,Y,543
Lake Taylor High Norfolk City Public Schools,N,326
Lake Taylor High Norfolk City Public Schools,Y,686
Lake Taylor Norfolk City Public Schools,N,230
Lake Taylor Norfolk City Public Schools,Y,417
Lakeland High Suffolk City Public Schools,N,595
Lakeland High Suffolk City Public Schools,Y,490
Lakemont Elementary Petersburg City Public Schools,N,65
Lakemont Elementary Petersburg City Public Schools,Y,277
Lakeside Elementary Henrico County Public Schools,N,151
Lakeside Elementary Henrico County Public Schools,Y,254
Lakeside Middle Albemarle County Public Schools,N,443
Lakeside Middle Albemarle County Public Schools,Y,105
Lakeview Elementary Colonial Heights City Public Schools,N,164
Lakeview Elementary Colonial Heights City Public Schools,Y,227
Lakeview Elementary Portsmouth City Public Schools,N,169
Lakeview Elementary Portsmouth City Public Schools,Y,268
Lancaster High Lancaster County Public Schools,N,135
Lancaster High Lancaster County Public Schools,Y,219
Lancaster Middle Lancaster County Public Schools,N,68
Lancaster Middle Lancaster County Public Schools,Y,214
Lancaster Primary Lancaster County Public Schools,N,168
Lancaster Primary Lancaster County Public Schools,Y,198
Landstown Elementary Virginia Beach City Public Schools,N,414
Landstown Elementary Virginia Beach City Public Schools,Y,301
Landstown High Virginia Beach City Public Schools,N,"1,292"
Landstown High Virginia Beach City Public Schools,Y,905
Landstown Middle Virginia Beach City Public Schools,N,764
Landstown Middle Virginia Beach City Public Schools,Y,585
Lane Elementary Fairfax County Public Schools,N,572
Lane Elementary Fairfax County Public Schools,Y,145
Langley High Fairfax County Public Schools,N,"1,981"
Langley High Fairfax County Public Schools,Y,68
Larchmont Elementary Norfolk City Public Schools,N,322
Larchmont Elementary Norfolk City Public Schools,Y,126
Larkspur Middle Virginia Beach City Public Schools,N,550
Larkspur Middle Virginia Beach City Public Schools,Y,"1,003"
Larrymore Elementary Norfolk City Public Schools,N,230
Larrymore Elementary Norfolk City Public Schools,Y,329
Laurel Elementary Carroll County Public Schools,N,99
Laurel Elementary Carroll County Public Schools,Y,119
Laurel Hill Elementary Fairfax County Public Schools,N,574
Laurel Hill Elementary Fairfax County Public Schools,Y,142
Laurel Lane Elementary Williamsburg-James City County Public Schools,N,278
Laurel Lane Elementary Williamsburg-James City County Public Schools,Y,196
Laurel Meadow Elementary Hanover County Public Schools,N,389
Laurel Meadow Elementary Hanover County Public Schools,Y,157
Laurel Park Middle Henry County Public Schools,N,306
Laurel Park Middle Henry County Public Schools,Y,502
Laurel Ridge Elementary Fairfax County Public Schools,N,731
Laurel Ridge Elementary Fairfax County Public Schools,Y,51
Lawson-Marriott Elementary King and Queen County Public Schools,N,190
Lawson-Marriott Elementary King and Queen County Public Schools,Y,111
Lebanon Elementary Russell County Public Schools,N,122
Lebanon Elementary Russell County Public Schools,Y,167
Lebanon High Russell County Public Schools,N,240
Lebanon High Russell County Public Schools,Y,346
Lebanon Middle Russell County Public Schools,N,143
Lebanon Middle Russell County Public Schools,Y,163
Lebanon Primary Russell County Public Schools,N,99
Lebanon Primary Russell County Public Schools,Y,142
Lee High Lee County Public Schools,N,280
Lee High Lee County Public Schools,Y,512
Lee Hill Elementary Spotsylvania County Public Schools,N,339
Lee Hill Elementary Spotsylvania County Public Schools,Y,287
Lee M. Waid Elementary Franklin County Public Schools,N,164
Lee M. Waid Elementary Franklin County Public Schools,Y,222
Lees Corner Elementary Fairfax County Public Schools,N,523
Lees Corner Elementary Fairfax County Public Schools,Y,95
Leesburg Elementary Loudoun County Public Schools,N,225
Leesburg Elementary Loudoun County Public Schools,Y,188
Leesville Road Elementary Campbell County Public Schools,N,326
Leesville Road Elementary Campbell County Public Schools,Y,272
Leesylvania Elementary Prince William County Public Schools,N,350
Leesylvania Elementary Prince William County Public Schools,Y,320
Legacy Elementary Loudoun County Public Schools,N,699
Legacy Elementary Loudoun County Public Schools,Y,64
Lemon Road Elementary Fairfax County Public Schools,N,427
Lemon Road Elementary Fairfax County Public Schools,Y,81
Leslie Fox Keyser Elementary Warren County Public Schools,N,296
Leslie Fox Keyser Elementary Warren County Public Schools,Y,227
Leslie H. Walton Middle Albemarle County Public Schools,N,225
Leslie H. Walton Middle Albemarle County Public Schools,Y,106
Lewis and Clark Elementary Caroline County Public Schools,N,556
Lewis and Clark Elementary Caroline County Public Schools,Y,315
Lewis High Fairfax County Public Schools,N,636
Lewis High Fairfax County Public Schools,Y,"1,070"
Liberty Elementary Loudoun County Public Schools,N,796
Liberty Elementary Loudoun County Public Schools,Y,107
Liberty High Bedford County Public Schools,N,369
Liberty High Bedford County Public Schools,Y,344
Liberty High Fauquier County Public Schools,N,923
Liberty High Fauquier County Public Schools,Y,430
Liberty Middle Bedford County Public Schools,N,247
Liberty Middle Bedford County Public Schools,Y,295
Liberty Middle Fairfax County Public Schools,N,620
Liberty Middle Fairfax County Public Schools,Y,371
Liberty Middle Hanover County Public Schools,N,600
Liberty Middle Hanover County Public Schools,Y,363
Lightfoot Elementary Orange County Public Schools,N,120
Lightfoot Elementary Orange County Public Schools,Y,133
Lightridge High Loudoun County Public Schools,N,"1,306"
Lightridge High Loudoun County Public Schools,Y,130
Lincoln Elementary Loudoun County Public Schools,N,79
Lincoln Terrace Elementary Roanoke City Public Schools,N,73
Lincoln Terrace Elementary Roanoke City Public Schools,Y,218
Lindenwood Elementary Norfolk City Public Schools,N,65
Lindenwood Elementary Norfolk City Public Schools,Y,215
Linkhorn Park Elementary Virginia Beach City Public Schools,N,278
Linkhorn Park Elementary Virginia Beach City Public Schools,Y,234
Linkhorne Elementary Lynchburg City Public Schools,N,106
Linkhorne Elementary Lynchburg City Public Schools,Y,318
Linkhorne Middle Lynchburg City Public Schools,N,253
Linkhorne Middle Lynchburg City Public Schools,Y,346
Linville-Edom Elementary Rockingham County Public Schools,N,93
Linville-Edom Elementary Rockingham County Public Schools,Y,68
Linwood Holton Elementary Richmond City Public Schools,N,315
Linwood Holton Elementary Richmond City Public Schools,Y,120
Little Creek Elementary Norfolk City Public Schools,N,226
Little Creek Elementary Norfolk City Public Schools,Y,364
Little River Elementary Loudoun County Public Schools,N,630
Little River Elementary Loudoun County Public Schools,Y,49
Little Run Elementary Fairfax County Public Schools,N,224
Little Run Elementary Fairfax County Public Schools,Y,71
Livingston Elementary Spotsylvania County Public Schools,N,208
Livingston Elementary Spotsylvania County Public Schools,Y,193
Lloyd C. Bird High Chesterfield County Public Schools,N,"1,000"
Lloyd C. Bird High Chesterfield County Public Schools,Y,820
Loch Lomond Elementary Prince William County Public Schools,N,133
Loch Lomond Elementary Prince William County Public Schools,Y,417
Locust Grove Elementary Orange County Public Schools,N,317
Locust Grove Elementary Orange County Public Schools,Y,179
Locust Grove Middle Orange County Public Schools,N,402
Locust Grove Middle Orange County Public Schools,Y,269
Locust Grove Primary Orange County Public Schools,N,297
Locust Grove Primary Orange County Public Schools,Y,125
Lois Hornsby Middle Williamsburg-James City County Public Schools,N,532
Lois Hornsby Middle Williamsburg-James City County Public Schools,Y,261
London Towne Elementary Fairfax County Public Schools,N,348
London Towne Elementary Fairfax County Public Schools,Y,418
Long Branch Elementary Arlington County Public Schools,N,259
Long Branch Elementary Arlington County Public Schools,Y,145
Longdale Elementary Henrico County Public Schools,N,145
Longdale Elementary Henrico County Public Schools,Y,341
Longfellow Middle Fairfax County Public Schools,N,"1,127"
Longfellow Middle Fairfax County Public Schools,Y,142
Lord Botetourt High Botetourt County Public Schools,N,801
Lord Botetourt High Botetourt County Public Schools,Y,208
Lorton Station Elementary Fairfax County Public Schools,N,359
Lorton Station Elementary Fairfax County Public Schools,Y,395
Loudoun County High Loudoun County Public Schools,N,"1,141"
Loudoun County High Loudoun County Public Schools,Y,363
Loudoun Valley High Loudoun County Public Schools,N,"1,066"
Loudoun Valley High Loudoun County Public Schools,Y,176
Louisa County High Louisa County Public Schools,N,843
Louisa County High Louisa County Public Schools,Y,799
Louisa County Middle Louisa County Public Schools,N,595
Louisa County Middle Louisa County Public Schools,Y,617
Louise A. Benton Middle Prince William County Public Schools,N,"1,116"
Louise A. Benton Middle Prince William County Public Schools,Y,276
Lovettsville Elementary Loudoun County Public Schools,N,444
Lovettsville Elementary Loudoun County Public Schools,Y,65
Lowes Island Elementary Loudoun County Public Schools,N,466
Lowes Island Elementary Loudoun County Public Schools,Y,69
Lucille M. Brown Middle Richmond City Public Schools,N,229
Lucille M. Brown Middle Richmond City Public Schools,Y,355
Lucketts Elementary Loudoun County Public Schools,N,185
Lucketts Elementary Loudoun County Public Schools,Y,58
Lunenburg Middle Lunenburg County Public Schools,N,150
Lunenburg Middle Lunenburg County Public Schools,Y,214
Luray Elementary Page County Public Schools,N,194
Luray Elementary Page County Public Schools,Y,270
Luray High Page County Public Schools,N,286
Luray High Page County Public Schools,Y,217
Luray Middle Page County Public Schools,N,181
Luray Middle Page County Public Schools,Y,164
Luther P. Jackson Middle Surry County Public Schools,N,82
Luther P. Jackson Middle Surry County Public Schools,Y,107
Luther W. Machen Elementary Hampton City Public Schools,N,186
Luther W. Machen Elementary Hampton City Public Schools,Y,263
Luxford Elementary Virginia Beach City Public Schools,N,194
Luxford Elementary Virginia Beach City Public Schools,Y,271
Lylburn Downing Middle Lexington City Public Schools,N,101
Lylburn Downing Middle Lexington City Public Schools,Y,47
Lyles-Crouch Elementary Alexandria City Public Schools,N,318
Lyles-Crouch Elementary Alexandria City Public Schools,Y,82
Lynbrook Elementary Fairfax County Public Schools,N,165
Lynbrook Elementary Fairfax County Public Schools,Y,425
Lynnhaven Elementary Virginia Beach City Public Schools,N,137
Lynnhaven Elementary Virginia Beach City Public Schools,Y,228
Lynnhaven Middle Virginia Beach City Public Schools,N,406
Lynnhaven Middle Virginia Beach City Public Schools,Y,540
Mack Benn Jr. Elementary Suffolk City Public Schools,N,280
Mack Benn Jr. Elementary Suffolk City Public Schools,Y,358
Macy Mcclaugherty Elementary/Middle Giles County Public Schools,N,557
Macy Mcclaugherty Elementary/Middle Giles County Public Schools,Y,262
Madison County High Madison County Public Schools,N,303
Madison County High Madison County Public Schools,Y,256
Madison Elementary Caroline County Public Schools,N,221
Madison Elementary Caroline County Public Schools,Y,220
Madison Heights Elementary Amherst County Public Schools,N,106
Madison Heights Elementary Amherst County Public Schools,Y,275
Madison High Fairfax County Public Schools,N,"1,969"
Madison High Fairfax County Public Schools,Y,244
Madison Primary Madison County Public Schools,N,199
Madison Primary Madison County Public Schools,Y,167
Madison's Trust Elementary Loudoun County Public Schools,N,"1,129"
Madison's Trust Elementary Loudoun County Public Schools,Y,53
Magna Vista High Henry County Public Schools,N,509
Magna Vista High Henry County Public Schools,Y,574
Magruder Elementary York County Public Schools,N,441
Magruder Elementary York County Public Schools,Y,165
Malibu Elementary Virginia Beach City Public Schools,N,182
Malibu Elementary Virginia Beach City Public Schools,Y,190
Manassas Park Elementary Manassas Park City Public Schools,N,319
Manassas Park Elementary Manassas Park City Public Schools,Y,418
Manassas Park High Manassas Park City Public Schools,N,581
Manassas Park High Manassas Park City Public Schools,Y,541
Manassas Park Middle Manassas Park City Public Schools,N,369
Manassas Park Middle Manassas Park City Public Schools,Y,440
Manchester High Chesterfield County Public Schools,N,"1,560"
Manchester High Chesterfield County Public Schools,Y,654
Manchester Middle Chesterfield County Public Schools,N,604
Manchester Middle Chesterfield County Public Schools,Y,522
Manor High Portsmouth City Public Schools,N,575
Manor High Portsmouth City Public Schools,Y,685
Mantua Elementary Fairfax County Public Schools,N,815
Mantua Elementary Fairfax County Public Schools,Y,128
Margaret Beeks Elementary Montgomery County Public Schools,N,247
Margaret Beeks Elementary Montgomery County Public Schools,Y,122
Margaret Brent Elementary Stafford County Public Schools,N,682
Margaret Brent Elementary Stafford County Public Schools,Y,119
Margaret M. Pierce Elementary Fauquier County Public Schools,N,336
Margaret M. Pierce Elementary Fauquier County Public Schools,Y,187
Marguerite F. Christian Elementary Chesterfield County Public Schools,N,265
Marguerite F. Christian Elementary Chesterfield County Public Schools,Y,387
Marion Elementary Smyth County Public Schools,N,137
Marion Elementary Smyth County Public Schools,Y,187
Marion Middle Smyth County Public Schools,N,169
Marion Middle Smyth County Public Schools,Y,281
Marion Senior High Smyth County Public Schools,N,315
Marion Senior High Smyth County Public Schools,Y,329
Marshall High Fairfax County Public Schools,N,"1,619"
Marshall High Fairfax County Public Schools,Y,454
Marshall Middle Fauquier County Public Schools,N,287
Marshall Middle Fauquier County Public Schools,Y,144
Marshall Road Elementary Fairfax County Public Schools,N,485
Marshall Road Elementary Fairfax County Public Schools,Y,180
Martin Luther King Jr. Early Learning Center Richmond City Public Schools,N,86
Martin Luther King Jr. Early Learning Center Richmond City Public Schools,Y,59
Martin Luther King Jr. Elementary Prince William County Public Schools,N,197
Martin Luther King Jr. Elementary Prince William County Public Schools,Y,239
Martin Luther King Jr. Middle Richmond City Public Schools,N,74
Martin Luther King Jr. Middle Richmond City Public Schools,Y,440
Martinsville High Martinsville City Public Schools,N,156
Martinsville High Martinsville City Public Schools,Y,400
Martinsville Middle Martinsville City Public Schools,N,93
Martinsville Middle Martinsville City Public Schools,Y,309
Marumsco Hills Elementary Prince William County Public Schools,N,115
Marumsco Hills Elementary Prince William County Public Schools,Y,434
Mary Calcott Elementary Norfolk City Public Schools,N,255
Mary Calcott Elementary Norfolk City Public Schools,Y,174
Mary Carr Greer Elementary Albemarle County Public Schools,N,223
Mary Carr Greer Elementary Albemarle County Public Schools,Y,258
Mary Ellen Henderson Middle Falls Church City Public Schools,N,533
Mary Ellen Henderson Middle Falls Church City Public Schools,Y,53
Mary G. Porter Traditional Prince William County Public Schools,N,458
Mary G. Porter Traditional Prince William County Public Schools,Y,212
Mary Munford Elementary Richmond City Public Schools,N,351
Mary Munford Elementary Richmond City Public Schools,Y,59
Mary Passage Middle Newport News City Public Schools,N,416
Mary Passage Middle Newport News City Public Schools,Y,571
Mary S. Peake Elementary Hampton City Public Schools,N,157
Mary S. Peake Elementary Hampton City Public Schools,Y,263
Mary T. Christian Elementary Hampton City Public Schools,N,112
Mary T. Christian Elementary Hampton City Public Schools,Y,154
Mary W. Jackson Elementary Hampton City Public Schools,N,232
Mary W. Jackson Elementary Hampton City Public Schools,Y,90
Mary Walter Elementary Fauquier County Public Schools,N,229
Mary Walter Elementary Fauquier County Public Schools,Y,188
Mary Williams Elementary Prince William County Public Schools,N,345
Mary Williams Elementary Prince William County Public Schools,Y,316
Mason Crest Elementary Fairfax County Public Schools,N,306
Mason Crest Elementary Fairfax County Public Schools,Y,308
Mason's Cove Elementary Roanoke County Public Schools,N,115
Mason's Cove Elementary Roanoke County Public Schools,Y,88
Massaponax High Spotsylvania County Public Schools,N,"1,024"
Massaponax High Spotsylvania County Public Schools,Y,685
Mathews Elementary Mathews County Public Schools,N,163
Mathews Elementary Mathews County Public Schools,Y,156
Mathews High Mathews County Public Schools,N,159
Mathews High Mathews County Public Schools,Y,134
Matoaca Elementary Chesterfield County Public Schools,N,321
Matoaca Elementary Chesterfield County Public Schools,Y,254
Matoaca High Chesterfield County Public Schools,N,"1,111"
Matoaca High Chesterfield County Public Schools,Y,541
Matoaca Middle Chesterfield County Public Schools,N,539
Matoaca Middle Chesterfield County Public Schools,Y,380
Matoaka Elementary Williamsburg-James City County Public Schools,N,527
Matoaka Elementary Williamsburg-James City County Public Schools,Y,148
Matthew Fontaine Maury High Norfolk City Public Schools,N,884
Matthew Fontaine Maury High Norfolk City Public Schools,Y,739
Matthew Whaley Elementary Williamsburg-James City County Public Schools,N,267
Matthew Whaley Elementary Williamsburg-James City County Public Schools,Y,187
Maude Trevvett Elementary Henrico County Public Schools,N,218
Maude Trevvett Elementary Henrico County Public Schools,Y,310
Maury River Middle Rockbridge County Public Schools,N,254
Maury River Middle Rockbridge County Public Schools,Y,317
Max Meadows Elementary Wythe County Public Schools,N,97
Max Meadows Elementary Wythe County Public Schools,Y,111
Maybeury Elementary Henrico County Public Schools,N,362
Maybeury Elementary Henrico County Public Schools,Y,237
Mayfield Intermediate Manassas City Public Schools,N,468
Mayfield Intermediate Manassas City Public Schools,Y,334
Maymont Pre-K Center Richmond City Public Schools,N,299
Maymont Pre-K Center Richmond City Public Schools,Y,242
McCleary Elementary Craig County Public Schools,N,94
McCleary Elementary Craig County Public Schools,Y,119
McGaheysville Elementary Rockingham County Public Schools,N,139
McGaheysville Elementary Rockingham County Public Schools,Y,98
McHarg Elementary Radford City Public Schools,N,156
McHarg Elementary Radford City Public Schools,Y,225
McLean High Fairfax County Public Schools,N,"2,103"
McLean High Fairfax County Public Schools,Y,265
McNair Elementary Fairfax County Public Schools,N,399
McNair Elementary Fairfax County Public Schools,Y,152
McNair Upper Elementary Fairfax County Public Schools,N,475
McNair Upper Elementary Fairfax County Public Schools,Y,151
Meadow View Elementary Henry County Public Schools,N,228
Meadow View Elementary Henry County Public Schools,Y,430
Meadowbrook High Chesterfield County Public Schools,N,"1,017"
Meadowbrook High Chesterfield County Public Schools,Y,"1,075"
Meadowland Elementary Loudoun County Public Schools,N,198
Meadowland Elementary Loudoun County Public Schools,Y,206
Meadows of Dan Elementary Patrick County Public Schools,N,352
Meadows of Dan Elementary Patrick County Public Schools,Y,72
Meadowview Elementary Washington County Public Schools,N,243
Meadowview Elementary Washington County Public Schools,Y,263
Meadville Elementary Halifax County Public Schools,N,78
Meadville Elementary Halifax County Public Schools,Y,97
Mechanicsville Elementary Hanover County Public Schools,N,304
Mechanicsville Elementary Hanover County Public Schools,Y,245
Mechanicsville High Hanover County Public Schools,N,938
Mechanicsville High Hanover County Public Schools,Y,401
Meherrin Elementary Southampton County Public Schools,N,126
Meherrin Elementary Southampton County Public Schools,Y,111
Meherrin Powellton Elementary Brunswick County Public Schools,N,69
Meherrin Powellton Elementary Brunswick County Public Schools,Y,109
Menchville High Newport News City Public Schools,N,"1,000"
Menchville High Newport News City Public Schools,Y,733
Mercer Middle Loudoun County Public Schools,N,"1,051"
Mercer Middle Loudoun County Public Schools,Y,215
Meridian High Falls Church City Public Schools,N,766
Meridian High Falls Church City Public Schools,Y,83
Meriwether Lewis Elementary Albemarle County Public Schools,N,298
Meriwether Lewis Elementary Albemarle County Public Schools,Y,23
Metompkin Elementary Accomack County Public Schools,N,373
Metompkin Elementary Accomack County Public Schools,Y,185
Middleburg Community Charter Loudoun County Public Schools,N,139
Middleburg Community Charter Loudoun County Public Schools,Y,
Middlesex Elementary Middlesex County Public Schools,N,230
Middlesex Elementary Middlesex County Public Schools,Y,363
Middlesex High Middlesex County Public Schools,N,150
Middlesex High Middlesex County Public Schools,Y,185
Middletown Elementary Frederick County Public Schools,N,284
Middletown Elementary Frederick County Public Schools,Y,286
Midlothian High Chesterfield County Public Schools,N,"1,785"
Midlothian High Chesterfield County Public Schools,Y,209
Midlothian Middle Chesterfield County Public Schools,N,"1,193"
Midlothian Middle Chesterfield County Public Schools,Y,160
Midway Elementary Dinwiddie County Public Schools,N,44
Midway Elementary Dinwiddie County Public Schools,Y,314
Miles Jones Elementary Richmond City Public Schools,N,197
Miles Jones Elementary Richmond City Public Schools,Y,331
Mill Run Elementary Loudoun County Public Schools,N,651
Mill Run Elementary Loudoun County Public Schools,Y,43
Millboro Elementary Bath County Public Schools,N,57
Millboro Elementary Bath County Public Schools,Y,84
Millbrook High Frederick County Public Schools,N,863
Millbrook High Frederick County Public Schools,Y,659
Mills E. Godwin High Henrico County Public Schools,N,"1,449"
Mills E. Godwin High Henrico County Public Schools,Y,407
Minnieville Elementary Prince William County Public Schools,N,211
Minnieville Elementary Prince William County Public Schools,Y,393
Monacan High Chesterfield County Public Schools,N,"1,122"
Monacan High Chesterfield County Public Schools,Y,490
Monelison Middle Amherst County Public Schools,N,235
Monelison Middle Amherst County Public Schools,Y,325
Moneta Elementary Bedford County Public Schools,N,99
Moneta Elementary Bedford County Public Schools,Y,117
Montclair Elementary Prince William County Public Schools,N,336
Montclair Elementary Prince William County Public Schools,Y,271
Monterey Elementary Roanoke City Public Schools,N,198
Monterey Elementary Roanoke City Public Schools,Y,279
Montessori Public School of Arlington Arlington County Public Schools,N,358
Montessori Public School of Arlington Arlington County Public Schools,Y,139
Montevideo Middle Rockingham County Public Schools,N,350
Montevideo Middle Rockingham County Public Schools,Y,264
Monticello High Albemarle County Public Schools,N,841
Monticello High Albemarle County Public Schools,Y,379
Montrose Elementary Henrico County Public Schools,N,95
Montrose Elementary Henrico County Public Schools,Y,263
Montross Middle Westmoreland County Public Schools,N,161
Montross Middle Westmoreland County Public Schools,Y,172
Montvale Elementary Bedford County Public Schools,N,101
Montvale Elementary Bedford County Public Schools,Y,144
Moorefield Station Elementary Loudoun County Public Schools,N,726
Moorefield Station Elementary Loudoun County Public Schools,Y,149
Morningside Elementary Roanoke City Public Schools,N,72
Morningside Elementary Roanoke City Public Schools,Y,190
Mosaic Elementary Fairfax County Public Schools,N,689
Mosaic Elementary Fairfax County Public Schools,Y,208
Moss-Nuckols Elementary Louisa County Public Schools,N,350
Moss-Nuckols Elementary Louisa County Public Schools,Y,241
Moton Early Childhood Center Hampton City Public Schools,N,133
Moton Early Childhood Center Hampton City Public Schools,Y,98
Mount Airy Elementary Pittsylvania County Public Schools,N,53
Mount Airy Elementary Pittsylvania County Public Schools,Y,79
Mount Daniel Elementary Falls Church City Public Schools,N,463
Mount Daniel Elementary Falls Church City Public Schools,Y,23
Mount Eagle Elementary Fairfax County Public Schools,N,102
Mount Eagle Elementary Fairfax County Public Schools,Y,229
Mount Hermon Preschool Center Portsmouth City Public Schools,N,216
Mount Hermon Preschool Center Portsmouth City Public Schools,Y,
Mount Olivet Elementary Henry County Public Schools,N,93
Mount Olivet Elementary Henry County Public Schools,Y,198
Mount Pleasant Elementary Roanoke County Public Schools,N,114
Mount Pleasant Elementary Roanoke County Public Schools,Y,137
Mount Vernon Elementary Alexandria City Public Schools,N,459
Mount Vernon Elementary Alexandria City Public Schools,Y,429
Mount Vernon Elementary York County Public Schools,N,522
Mount Vernon Elementary York County Public Schools,Y,67
Mount Vernon High Fairfax County Public Schools,N,767
Mount Vernon High Fairfax County Public Schools,Y,"1,201"
Mount Vernon Woods Elementary Fairfax County Public Schools,N,139
Mount Vernon Woods Elementary Fairfax County Public Schools,Y,470
Mountain View Elementary Albemarle County Public Schools,N,453
Mountain View Elementary Albemarle County Public Schools,Y,278
Mountain View Elementary Alleghany County Public Schools,N,234
Mountain View Elementary Alleghany County Public Schools,Y,236
Mountain View Elementary Loudoun County Public Schools,N,570
Mountain View Elementary Loudoun County Public Schools,Y,96
Mountain View Elementary Prince William County Public Schools,N,439
Mountain View Elementary Prince William County Public Schools,Y,51
Mountain View Elementary Roanoke County Public Schools,N,168
Mountain View Elementary Roanoke County Public Schools,Y,154
Mountain View Elementary Rockbridge County Public Schools,N,53
Mountain View Elementary Rockbridge County Public Schools,Y,80
Mountain View Elementary Rockingham County Public Schools,N,218
Mountain View Elementary Rockingham County Public Schools,Y,164
Mountain View High Fairfax County Public Schools,N,49
Mountain View High Fairfax County Public Schools,Y,105
Mountain View High Shenandoah County Public Schools,N,341
Mountain View High Shenandoah County Public Schools,Y,259
Mountain View High Stafford County Public Schools,N,"1,763"
Mountain View High Stafford County Public Schools,Y,383
Nandua High Accomack County Public Schools,N,391
Nandua High Accomack County Public Schools,Y,261
Nandua Middle Accomack County Public Schools,N,180
Nandua Middle Accomack County Public Schools,Y,275
Nansemond Parkway Elementary Suffolk City Public Schools,N,269
Nansemond Parkway Elementary Suffolk City Public Schools,Y,127
Nansemond River High Suffolk City Public Schools,N,"1,288"
Nansemond River High Suffolk City Public Schools,Y,374
Naomi L. Brooks Elementary Alexandria City Public Schools,N,243
Naomi L. Brooks Elementary Alexandria City Public Schools,Y,97
Narrows Elementary/Middle Giles County Public Schools,N,566
Narrows Elementary/Middle Giles County Public Schools,Y,274
Narrows High Giles County Public Schools,N,284
Narrows High Giles County Public Schools,Y,142
Nathanael Greene Elementary Greene County Public Schools,N,142
Nathanael Greene Elementary Greene County Public Schools,Y,187
Nathanael Greene Primary Greene County Public Schools,N,149
Nathanael Greene Primary Greene County Public Schools,Y,224
Natural Bridge Elementary Rockbridge County Public Schools,N,77
Natural Bridge Elementary Rockbridge County Public Schools,Y,142
Navy Elementary Fairfax County Public Schools,N,863
Navy Elementary Fairfax County Public Schools,Y,48
Neabsco Elementary Prince William County Public Schools,N,161
Neabsco Elementary Prince William County Public Schools,Y,487
Nelson County High Nelson County Public Schools,N,228
Nelson County High Nelson County Public Schools,Y,317
Nelson Middle Nelson County Public Schools,N,134
Nelson Middle Nelson County Public Schools,Y,225
New Castle Elementary Virginia Beach City Public Schools,N,511
New Castle Elementary Virginia Beach City Public Schools,Y,189
New Kent Elementary New Kent County Public Schools,N,513
New Kent Elementary New Kent County Public Schools,Y,188
New Kent High New Kent County Public Schools,N,840
New Kent High New Kent County Public Schools,Y,243
New Kent Middle New Kent County Public Schools,N,577
New Kent Middle New Kent County Public Schools,Y,189
New London Academy Elementary Bedford County Public Schools,N,242
New London Academy Elementary Bedford County Public Schools,Y,76
Newington Forest Elementary Fairfax County Public Schools,N,400
Newington Forest Elementary Fairfax County Public Schools,Y,140
Newsome Park Elementary Newport News City Public Schools,N,65
Newsome Park Elementary Newport News City Public Schools,Y,422
Newton-Lee Elementary Loudoun County Public Schools,N,512
Newton-Lee Elementary Loudoun County Public Schools,Y,119
Newtown Elementary Virginia Beach City Public Schools,N,104
Newtown Elementary Virginia Beach City Public Schools,Y,323
Ni River Middle Spotsylvania County Public Schools,N,502
Ni River Middle Spotsylvania County Public Schools,Y,216
Nickelsville Elementary Scott County Public Schools,Y,259
Norfolk Highlands Primary Chesapeake City Public Schools,N,130
Norfolk Highlands Primary Chesapeake City Public Schools,Y,143
Norge Elementary Williamsburg-James City County Public Schools,N,354
Norge Elementary Williamsburg-James City County Public Schools,Y,297
North Elementary Colonial Heights City Public Schools,N,132
North Elementary Colonial Heights City Public Schools,Y,187
North Elementary Prince George County Public Schools,N,326
North Elementary Prince George County Public Schools,Y,424
North Fork Middle Shenandoah County Public Schools,N,163
North Fork Middle Shenandoah County Public Schools,Y,187
North Landing Elementary Virginia Beach City Public Schools,N,381
North Landing Elementary Virginia Beach City Public Schools,Y,72
North River Elementary Augusta County Public Schools,N,119
