Sch_Div,Disadvantaged,Total Count
Bailey Bridge Middle Chesterfield County Public Schools,Y,439
Bailey's Elementary School for the Arts and Sciences Fairfax County Public Schools,N,335
Bailey's Elementary School for the Arts and Sciences Fairfax County Public Schools,Y,461
Bailey's Upper Elementary School for the Arts and Sciences Fairfax County Public Schools,N,167
Bailey's Upper Elementary School for the Arts and Sciences Fairfax County Public Schools,Y,352
Baker-Butler Elem Albemarle County Public Schools,N,520
Baker-Butler Elem Albemarle County Public Schools,Y,162
Baldwin Elementary Manassas City Public Schools,N,387
Baldwin Elementary Manassas City Public Schools,Y,274
Baldwin Intermediate Manassas City Public Schools,N,148
Baldwin Intermediate Manassas City Public Schools,Y,126
Ball's Bluff Elementary Loudoun County Public Schools,N,342
Ball's Bluff Elementary Loudoun County Public Schools,Y,139
Banneker Elementary Loudoun County Public Schools,N,133
Banneker Elementary Loudoun County Public Schools,Y,48
Barack Obama Elementary Richmond City Public Schools,N,100
Barack Obama Elementary Richmond City Public Schools,Y,176
Barcroft Elementary Arlington County Public Schools,N,207
Barcroft Elementary Arlington County Public Schools,Y,233
Barrett Elementary Arlington County Public Schools,N,215
Barrett Elementary Arlington County Public Schools,Y,313
Barron Elementary Hampton City Public Schools,N,228
Barron Elementary Hampton City Public Schools,Y,131
Bass-Hoover Elementary Frederick County Public Schools,N,350
Bass-Hoover Elementary Frederick County Public Schools,Y,231
Bassett High Henry County Public Schools,N,426
Bassett High Henry County Public Schools,Y,669
Bath County High Bath County Public Schools,N,84
Bath County High Bath County Public Schools,Y,104
Battlefield Elementary Spotsylvania County Public Schools,N,343
Battlefield Elementary Spotsylvania County Public Schools,Y,331
Battlefield High Prince William County Public Schools,N,"2,263"
Battlefield High Prince William County Public Schools,Y,298
Battlefield Middle Spotsylvania County Public Schools,N,387
Battlefield Middle Spotsylvania County Public Schools,Y,441
Battlefield Park Elementary Hanover County Public Schools,N,332
Battlefield Park Elementary Hanover County Public Schools,Y,62
Bay View Elementary Norfolk City Public Schools,N,230
Bay View Elementary Norfolk City Public Schools,Y,289
Bayside 6th Grade Campus Virginia Beach City Public Schools,N,82
Bayside 6th Grade Campus Virginia Beach City Public Schools,Y,266
Bayside Elementary Virginia Beach City Public Schools,N,188
Bayside Elementary Virginia Beach City Public Schools,Y,301
Bayside High Virginia Beach City Public Schools,N,699
Bayside High Virginia Beach City Public Schools,Y,"1,247"
Bayside Middle Virginia Beach City Public Schools,N,211
Bayside Middle Virginia Beach City Public Schools,Y,553
Beaverdam Elementary Hanover County Public Schools,N,205
Beaverdam Elementary Hanover County Public Schools,Y,75
Bedford Elementary Bedford County Public Schools,N,150
Bedford Elementary Bedford County Public Schools,Y,273
Bedford Hills Elementary Lynchburg City Public Schools,N,171
Bedford Hills Elementary Lynchburg City Public Schools,Y,201
Bedford Primary Bedford County Public Schools,N,99
Bedford Primary Bedford County Public Schools,Y,176
Beech Tree Elementary Fairfax County Public Schools,N,155
Beech Tree Elementary Fairfax County Public Schools,Y,210
Bel Air Elementary Prince William County Public Schools,N,89
Bel Air Elementary Prince William County Public Schools,Y,306
Belfast Elementary Russell County Public Schools,N,68
Belfast Elementary Russell County Public Schools,Y,74
Belfield Elementary Greensville County Public Schools,N,56
Belfield Elementary Greensville County Public Schools,Y,107
Bell Creek Middle Hanover County Public Schools,N,612
Bell Creek Middle Hanover County Public Schools,Y,365
Belle Heth Elementary Radford City Public Schools,N,718
Belle Heth Elementary Radford City Public Schools,Y,252
Belle View Elementary Fairfax County Public Schools,N,265
Belle View Elementary Fairfax County Public Schools,Y,149
Bellevue Elementary Richmond City Public Schools,N,74
Bellevue Elementary Richmond City Public Schools,Y,126
Bellwood Elementary Chesterfield County Public Schools,N,167
Bellwood Elementary Chesterfield County Public Schools,Y,322
Belmont Elementary Prince William County Public Schools,N,169
Belmont Elementary Prince William County Public Schools,Y,341
Belmont Ridge Middle Loudoun County Public Schools,N,893
Belmont Ridge Middle Loudoun County Public Schools,Y,163
Belmont Station Elementary Loudoun County Public Schools,N,630
Belmont Station Elementary Loudoun County Public Schools,Y,89
Belvedere Elementary Fairfax County Public Schools,N,269
Belvedere Elementary Fairfax County Public Schools,Y,285
Belview Elementary Montgomery County Public Schools,N,138
Belview Elementary Montgomery County Public Schools,Y,136
Benjamin Franklin Middle Franklin County Public Schools,N,637
Benjamin Franklin Middle Franklin County Public Schools,Y,858
Benjamin Syms Middle Hampton City Public Schools,N,451
Benjamin Syms Middle Hampton City Public Schools,Y,522
Bennett Elementary Prince William County Public Schools,N,520
Bennett Elementary Prince William County Public Schools,Y,200
Bensley Elementary Chesterfield County Public Schools,N,240
Bensley Elementary Chesterfield County Public Schools,Y,373
Berkeley Elementary Spotsylvania County Public Schools,N,133
Berkeley Elementary Spotsylvania County Public Schools,Y,144
Berkeley Glenn Elementary Waynesboro City Public Schools,N,115
Berkeley Glenn Elementary Waynesboro City Public Schools,Y,129
Berkeley Middle Williamsburg-James City County Public Schools,N,390
Berkeley Middle Williamsburg-James City County Public Schools,Y,241
Berkley/Campostella Early Childhood Education Center Norfolk City Public Schools,N,62
Berkley/Campostella Early Childhood Education Center Norfolk City Public Schools,Y,104
Bessie Weller Elementary Staunton City Public Schools,N,219
Bessie Weller Elementary Staunton City Public Schools,Y,151
Bethel Elementary Gloucester County Public Schools,N,304
Bethel Elementary Gloucester County Public Schools,Y,191
Bethel High Hampton City Public Schools,N,"1,010"
Bethel High Hampton City Public Schools,Y,805
Bethel Manor Elementary York County Public Schools,N,450
Bethel Manor Elementary York County Public Schools,Y,206
Bettie Weaver Elementary Chesterfield County Public Schools,N,559
Bettie Weaver Elementary Chesterfield County Public Schools,Y,23
Beulah Elementary Chesterfield County Public Schools,N,453
Beulah Elementary Chesterfield County Public Schools,Y,514
Beverley Manor Middle Augusta County Public Schools,N,344
Beverley Manor Middle Augusta County Public Schools,Y,272
Big Island Elementary Bedford County Public Schools,N,77
Big Island Elementary Bedford County Public Schools,Y,69
Binford Middle Richmond City Public Schools,N,214
Binford Middle Richmond City Public Schools,Y,198
Birdneck Elementary Virginia Beach City Public Schools,N,226
Birdneck Elementary Virginia Beach City Public Schools,Y,396
Blacksburg High Montgomery County Public Schools,N,"1,064"
Blacksburg High Montgomery County Public Schools,Y,258
Blacksburg Middle Montgomery County Public Schools,N,680
Blacksburg Middle Montgomery County Public Schools,Y,247
Blackstone Primary Nottoway County Public Schools,N,137
Blackstone Primary Nottoway County Public Schools,Y,252
Blackwell Elementary Richmond City Public Schools,N,79
Blackwell Elementary Richmond City Public Schools,Y,298
Blair Middle Norfolk City Public Schools,N,499
Blair Middle Norfolk City Public Schools,Y,718
Bland County Elementary Bland County Public Schools,N,196
Bland County Elementary Bland County Public Schools,Y,151
Bland County High Bland County Public Schools,N,210
Bland County High Bland County Public Schools,Y,162
Blue Ridge Elementary Patrick County Public Schools,N,102
Blue Ridge Elementary Patrick County Public Schools,Y,153
Blue Ridge Middle Loudoun County Public Schools,N,707
Blue Ridge Middle Loudoun County Public Schools,Y,123
Bluestone  High Mecklenburg County Public Schools,N,747
Bluestone  High Mecklenburg County Public Schools,Y,94
Bluestone Elementary Harrisonburg City Public Schools,N,224
Bluestone Elementary Harrisonburg City Public Schools,Y,331
Bluestone Middle Mecklenburg County Public Schools,N,303
Bluestone Middle Mecklenburg County Public Schools,Y,60
Bon Air Elementary Chesterfield County Public Schools,N,369
Bon Air Elementary Chesterfield County Public Schools,Y,222
Bonnie Brae Elementary Fairfax County Public Schools,N,637
Bonnie Brae Elementary Fairfax County Public Schools,Y,157
Bonsack Elementary Roanoke County Public Schools,N,260
Bonsack Elementary Roanoke County Public Schools,Y,63
Booker T Washington High Norfolk City Public Schools,N,253
Booker T Washington High Norfolk City Public Schools,Y,725
Booker T. Washington Elementary Suffolk City Public Schools,N,148
Booker T. Washington Elementary Suffolk City Public Schools,Y,197
Boones Mill Elementary Franklin County Public Schools,N,175
Boones Mill Elementary Franklin County Public Schools,Y,102
Boonsboro Elementary Bedford County Public Schools,N,269
Boonsboro Elementary Bedford County Public Schools,Y,71
Botetourt Elementary Gloucester County Public Schools,N,345
Botetourt Elementary Gloucester County Public Schools,Y,217
Bowling Green Elementary Caroline County Public Schools,N,335
Bowling Green Elementary Caroline County Public Schools,Y,401
Boyce Elementary Clarke County Public Schools,N,208
Boyce Elementary Clarke County Public Schools,Y,99
Braddock Elementary Fairfax County Public Schools,N,236
Braddock Elementary Fairfax County Public Schools,Y,621
Brambleton Middle Loudoun County Public Schools,N,"1,511"
Brambleton Middle Loudoun County Public Schools,Y,118
Brandon Middle Virginia Beach City Public Schools,N,508
Brandon Middle Virginia Beach City Public Schools,Y,577
Breckinridge Elementary Botetourt County Public Schools,N,113
Breckinridge Elementary Botetourt County Public Schools,Y,61
Breckinridge Middle Roanoke City Public Schools,N,262
Breckinridge Middle Roanoke City Public Schools,Y,406
Bren Mar Park Elementary Fairfax County Public Schools,N,205
Bren Mar Park Elementary Fairfax County Public Schools,Y,244
Brentsville District High Prince William County Public Schools,N,785
Brentsville District High Prince William County Public Schools,Y,156
Briar Woods High Loudoun County Public Schools,N,"1,608"
Briar Woods High Loudoun County Public Schools,Y,191
Brighton Elementary Portsmouth City Public Schools,N,153
Brighton Elementary Portsmouth City Public Schools,Y,279
Bristow Run Elementary Prince William County Public Schools,N,521
Bristow Run Elementary Prince William County Public Schools,Y,134
Broad Rock Elementary Richmond City Public Schools,N,280
Broad Rock Elementary Richmond City Public Schools,Y,375
Broad Run High Loudoun County Public Schools,N,"1,201"
Broad Run High Loudoun County Public Schools,Y,375
Broadus Wood Elementary Albemarle County Public Schools,N,216
Broadus Wood Elementary Albemarle County Public Schools,Y,43
Broadway High Rockingham County Public Schools,N,539
Broadway High Rockingham County Public Schools,Y,423
Brock Road Elementary Spotsylvania County Public Schools,N,408
Brock Road Elementary Spotsylvania County Public Schools,Y,246
Brooke Point High Stafford County Public Schools,N,"1,483"
Brooke Point High Stafford County Public Schools,Y,572
Brookfield Elementary Fairfax County Public Schools,N,262
Brookfield Elementary Fairfax County Public Schools,Y,478
Brookland Middle Henrico County Public Schools,N,314
Brookland Middle Henrico County Public Schools,Y,815
Brookneal Elementary Campbell County Public Schools,N,137
Brookneal Elementary Campbell County Public Schools,Y,274
Brookville High Campbell County Public Schools,N,639
Brookville High Campbell County Public Schools,Y,361
Brookville Middle Campbell County Public Schools,N,438
