Disabled,Total Count,Sch_Div
Y,62,Glebe Elementary Arlington County Public Schools
N,"1,016",Gunston Middle Arlington County Public Schools
Y,169,Gunston Middle Arlington County Public Schools
N,491,Hoffman-Boston Elementary Arlington County Public Schools
Y,75,Hoffman-Boston Elementary Arlington County Public Schools
N,373,Innovation Elementary Arlington County Public Schools
Y,31,Innovation Elementary Arlington County Public Schools
Y,31,Integration Station Arlington County Public Schools
N,433,Jamestown Elementary Arlington County Public Schools
Y,65,Jamestown Elementary Arlington County Public Schools
N,748,Jefferson Middle Arlington County Public Schools
Y,177,Jefferson Middle Arlington County Public Schools
N,803,Kenmore Middle Arlington County Public Schools
Y,225,Kenmore Middle Arlington County Public Schools
N,351,Long Branch Elementary Arlington County Public Schools
Y,53,Long Branch Elementary Arlington County Public Schools
N,442,Montessori Public School of Arlington Arlington County Public Schools
Y,55,Montessori Public School of Arlington Arlington County Public Schools
N,356,Nottingham Elementary Arlington County Public Schools
Y,50,Nottingham Elementary Arlington County Public Schools
N,559,Oakridge Elementary Arlington County Public Schools
Y,61,Oakridge Elementary Arlington County Public Schools
N,340,Randolph Elementary Arlington County Public Schools
Y,84,Randolph Elementary Arlington County Public Schools
N,829,Swanson Middle Arlington County Public Schools
Y,133,Swanson Middle Arlington County Public Schools
N,452,Taylor Elementary Arlington County Public Schools
Y,61,Taylor Elementary Arlington County Public Schools
N,385,Tuckahoe Elementary Arlington County Public Schools
Y,46,Tuckahoe Elementary Arlington County Public Schools
N,"2,224",Wakefield High Arlington County Public Schools
Y,543,Wakefield High Arlington County Public Schools
N,"2,153",Washington-Liberty High Arlington County Public Schools
Y,398,Washington-Liberty High Arlington County Public Schools
N,730,Williamsburg Middle Arlington County Public Schools
Y,110,Williamsburg Middle Arlington County Public Schools
N,"2,129",Yorktown High Arlington County Public Schools
Y,404,Yorktown High Arlington County Public Schools
N,563,Beverley Manor Middle Augusta County Public Schools
Y,53,Beverley Manor Middle Augusta County Public Schools
N,406,Buffalo Gap High Augusta County Public Schools
Y,46,Buffalo Gap High Augusta County Public Schools
N,610,Cassell Elementary Augusta County Public Schools
Y,61,Cassell Elementary Augusta County Public Schools
N,372,Churchville Elementary Augusta County Public Schools
Y,27,Churchville Elementary Augusta County Public Schools
N,122,Craigsville Elementary Augusta County Public Schools
Y,12,Craigsville Elementary Augusta County Public Schools
N,677,Edward G. Clymore Elementary Augusta County Public Schools
Y,52,Edward G. Clymore Elementary Augusta County Public Schools
N,646,Fort Defiance High Augusta County Public Schools
Y,80,Fort Defiance High Augusta County Public Schools
N,401,Guy K. Stump Elementary Augusta County Public Schools
Y,28,Guy K. Stump Elementary Augusta County Public Schools
N,226,North River Elementary Augusta County Public Schools
Y,12,North River Elementary Augusta County Public Schools
N,642,Riverheads Elementary Augusta County Public Schools
Y,57,Riverheads Elementary Augusta County Public Schools
N,434,Riverheads High Augusta County Public Schools
Y,43,Riverheads High Augusta County Public Schools
N,464,S. Gordon Stewart Middle Augusta County Public Schools
Y,46,S. Gordon Stewart Middle Augusta County Public Schools
N,512,Stuarts Draft Elementary Augusta County Public Schools
Y,46,Stuarts Draft Elementary Augusta County Public Schools
N,629,Stuarts Draft High Augusta County Public Schools
Y,82,Stuarts Draft High Augusta County Public Schools
N,410,Stuarts Draft Middle Augusta County Public Schools
Y,54,Stuarts Draft Middle Augusta County Public Schools
N,587,Wilson Elementary Augusta County Public Schools
Y,74,Wilson Elementary Augusta County Public Schools
N,737,Wilson Memorial High Augusta County Public Schools
Y,86,Wilson Memorial High Augusta County Public Schools
N,552,Wilson Middle Augusta County Public Schools
Y,82,Wilson Middle Augusta County Public Schools
N,165,Bath County High Bath County Public Schools
Y,23,Bath County High Bath County Public Schools
N,109,Millboro Elementary Bath County Public Schools
Y,32,Millboro Elementary Bath County Public Schools
N,140,Valley Elementary Bath County Public Schools
Y,33,Valley Elementary Bath County Public Schools
N,372,Bedford Elementary Bedford County Public Schools
